SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2012,SAUGUS,02620000,2845.3,178.6,3023.9
2012,SAVOY,02630000,41,48.4,89.4
2012,SCITUATE,02640000,3211,52.9,3263.9
2012,SEEKONK,02650000,2129.5,39.5,2169
2012,SHARON,02660000,3402.7,67.5,3470.2
2012,"SHAWSHEEN VALLEY",08710000,1344.1,16.6,1360.7
2012,SHERBORN,02690000,405.3,6,411.3
2012,SHREWSBURY,02710000,5892.3,365.1,6257.4
2012,SHUTESBURY,02720000,151.3,10,161.3
2012,"SILVER LAKE",07600000,1879.7,24.2,1903.9
2012,SOMERSET,02730000,1851.7,42.7,1894.4
2012,"SOMERSET BERKLEY",07630000,966.1,45.5,1011.6
2012,SOMERVILLE,02740000,4863,539.8,5402.8
2012,"SOUTH HADLEY",02780000,1967.1,194,2161.1
2012,"SOUTH MIDDLESEX",08290000,653.8,0,653.8
2012,"SOUTH SHORE",08730000,601.1,1,602.1
2012,SOUTHAMPTON,02750000,549.5,37,586.5
2012,SOUTHBOROUGH,02760000,1446.2,41.7,1487.9
2012,SOUTHBRIDGE,02770000,2166,252.5,2418.5
2012,SOUTHEASTERN,08720000,1280.7,0,1280.7
2012,"SOUTHERN BERKSHIRE",07650000,807.1,145.6,952.7
2012,"SOUTHERN WORCESTER",08760000,1053.8,26.9,1080.7
2012,"SOUTHWICK TOLLAND",07660000,1655.6,67.7,1723.3
2012,"SPENCER EAST BROOKFIELD",07670000,1953.3,171.5,2124.8
2012,SPRINGFIELD,02810000,24521.1,3792.7,28313.8
2012,STONEHAM,02840000,2479.3,129.3,2608.6
2012,STOUGHTON,02850000,3823.8,94.4,3918.2
2012,STURBRIDGE,02870000,949.3,7.5,956.8
2012,SUDBURY,02880000,3068.3,58.9,3127.2
2012,SUNDERLAND,02890000,168.5,29.1,197.6
2012,SUTTON,02900000,1579.7,24.3,1604
2012,SWAMPSCOTT,02910000,2277.5,73.4,2350.9
2012,SWANSEA,02920000,2043.4,41.3,2084.7
2012,TANTASQUA,07700000,1743.1,43.7,1786.8
2012,TAUNTON,02930000,7753.8,223.3,7977.1
2012,TEWKSBURY,02950000,3932.9,163.4,4096.3
2012,TISBURY,02960000,324.3,76.2,400.5
2012,TOPSFIELD,02980000,618.6,9.9,628.5
2012,"TRI COUNTY",08780000,1032.1,0,1032.1
2012,TRITON,07730000,2892,284.1,3176.1
2012,TRURO,03000000,151.6,93.8,245.4
2012,TYNGSBOROUGH,03010000,1871.1,126.4,1997.5
2012,UPISLAND,07740000,324.7,68.9,393.6
2012,"UPPER CAPE COD",08790000,656.5,0,656.5
2012,UXBRIDGE,03040000,1904.2,211.7,2115.9
2012,WACHUSETT,07750000,7473,248.1,7721.1
2012,WAKEFIELD,03050000,3333,122.5,3455.5
2012,WALES,03060000,161.2,9.6,170.8
2012,WALPOLE,03070000,3995.6,63.5,4059.1
2012,WALTHAM,03080000,4925.5,156.1,5081.6
2012,WARE,03090000,1220.2,173.4,1393.6
2012,WAREHAM,03100000,2951,102.4,3053.4
2012,WATERTOWN,03140000,2622.5,140.2,2762.7
2012,WAYLAND,03150000,2684,51.2,2735.2
2012,WEBSTER,03160000,1826.5,163.3,1989.8
2012,WELLESLEY,03170000,4932.7,66.3,4999
2012,WELLFLEET,03180000,132.6,10.5,143.1
2012,"WEST BOYLSTON",03220000,971.4,126.7,1098.1
2012,"WEST BRIDGEWATER",03230000,1260.8,22.2,1283
2012,"WEST SPRINGFIELD",03320000,3873.3,152.6,4025.9
2012,WESTBOROUGH,03210000,3505.9,66.3,3572.2
