,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,"Greater Lawrence Regional Vocational Technical",08230000,23770505,22406284,0.06,24119087,-0.01
2012,"Greater Lowell Regional Vocational Technical",08280000,31620112,31597336,0,31597336,0
2012,"Greater New Bedford Regional Vocational Technical",08250000,33170475,31299153,0.06,31299153,0.06
2012,Greenfield,01140000,23196705,19123336,0.21,19123336,0.21
2012,Groton,01150000,0,12532,-1,12744,-1
2012,Groton-Dunstable,06730000,27781983,23308786,0.19,27348485,0.02
2012,Hadley,01170000,7175862,5783756,0.24,5836173,0.23
2012,Halifax,01180000,6472778,5309029,0.22,5573730,0.16
2012,Hamilton-Wenham,06750000,24459857,15671050,0.56,17208773,0.42
2012,Hampden-Wilbraham,06800000,34798734,30318463,0.15,30537337,0.14
2012,Hampshire,06830000,9622569,7166323,0.34,7513012,0.28
2012,Hancock,01210000,1029327,776252,0.33,948747,0.09
2012,Hanover,01220000,25544920,22331597,0.14,22402228,0.14
2012,Hanson,01230000,114367,36750,2.11,44829,1.55
2012,Harvard,01250000,13674673,9832645,0.39,10346151,0.32
2012,Harwich,01260000,19438350,12395624,0.57,13064254,0.49
2012,Hatfield,01270000,4617056,3188704,0.45,3749188,0.23
2012,Haverhill,01280000,72818871,71678180,0.02,71678180,0.02
2012,Hawlemont,06850000,1386173,852740,0.63,1055723,0.31
2012,Hawley,01290000,97800,49000,1,63195,0.55
2012,Hingham,01310000,39655400,34007006,0.17,34007006,0.17
2012,Hinsdale,01320000,188364,231761,-0.19,254313,-0.26
2012,Holbrook,01330000,15313146,11116936,0.38,11398755,0.34
2012,Holland,01350000,2390877,1879809,0.27,2002781,0.19
2012,Holliston,01360000,28244542,23040981,0.23,23334650,0.21
2012,Holyoke,01370000,76190441,76399997,0,76399997,0
2012,Hopedale,01380000,11481117,9580765,0.2,10757310,0.07
2012,Hopkinton,01390000,37737489,29701472,0.27,30718724,0.23
2012,Hubbardston,01400000,0,24500,-1,24500,-1
2012,Hudson,01410000,34281297,25384241,0.35,25384241,0.35
2012,Hull,01420000,15247189,10984440,0.39,13409686,0.14
2012,Huntington,01430000,476258,403262,0.18,403262,0.18
2012,Ipswich,01440000,20046936,17102813,0.17,17237475,0.16
2012,"King Philip",06900000,21970008,19491490,0.13,20515142,0.07
2012,Kingston,01450000,10909758,10250130,0.06,10250130,0.06
2012,Lakeville,01460000,780792,122501,5.37,125074,5.24
2012,Lanesborough,01480000,3395621,2085249,0.63,2218090,0.53
2012,Lawrence,01490000,147211482,152346057,-0.03,152346057,-0.03
2012,Lee,01500000,9944965,6866002,0.45,7349432,0.35
2012,Leicester,01510000,16785610,16759774,0,16759774,0
2012,Lenox,01520000,10522313,5550215,0.9,6790493,0.55
2012,Leominster,01530000,65005562,64079293,0.01,64506038,0.01
2012,Leverett,01540000,2147679,1105464,0.94,1195994,0.8
2012,Lexington,01550000,94837223,56211263,0.69,58256733,0.63
2012,Lincoln,01570000,10953334,5352912,1.05,5897148,0.86
2012,Lincoln-Sudbury,06950000,23094428,15881721,0.45,16572493,0.39
2012,Littleton,01580000,17986124,13593607,0.32,13973054,0.29
2012,Longmeadow,01590000,34356656,24642877,0.39,25590783,0.34
2012,Lowell,01600000,157830466,157898865,0,157898865,0
2012,Ludlow,01610000,30963982,26899330,0.15,26899330,0.15
2012,Lunenburg,01620000,16265437,13457817,0.21,13504496,0.2
