adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,07,01630525,Lynn,"Fecteau-Leary Junior/Senior High School","Low Income",11,6,1,,,,4,11,4,1,2,,,4,,,,,,,,100,82,
2009,07,01630525,Lynn,"Fecteau-Leary Junior/Senior High School","Special Ed",10,8,1,,,,1,10,6,1,2,,,1,,,,,,,,100,80,
2009,08,01630525,Lynn,"Fecteau-Leary Junior/Senior High School","All Students",12,4,,3,1,,4,11,3,,5,,,3,11,6,,2,,,3,67,55,82
2009,10,01630525,Lynn,"Fecteau-Leary Junior/Senior High School","All Students",21,14,1,2,,,4,21,14,1,2,,,4,26,,,3,,,23,90,90,88
2009,10,01630525,Lynn,"Fecteau-Leary Junior/Senior High School","Low Income",18,12,1,2,,,3,18,12,1,2,,,3,20,,,2,,,18,89,89,90
2009,10,01630605,Lynn,"Lynn Voc Tech Institute","All Students",270,239,10,3,2,8,8,271,242,10,2,1,8,8,279,229,10,7,,8,25,98,99,97
2009,10,01630605,Lynn,"Lynn Voc Tech Institute","Low Income",216,189,10,2,1,8,6,216,191,10,1,1,8,5,223,179,10,6,,8,20,99,99,97
2009,10,01630605,Lynn,"Lynn Voc Tech Institute",Black,33,31,1,,,,1,33,31,1,,,,1,34,31,1,,,,2,100,100,100
2009,10,01630605,Lynn,"Lynn Voc Tech Institute",Asian,19,17,1,,,,1,19,17,1,,,,1,20,14,1,2,,,3,100,100,90
2009,10,01630605,Lynn,"Lynn Voc Tech Institute",Hispanic/Latino,145,128,5,2,1,7,2,147,130,5,1,1,7,3,150,121,5,4,,7,13,98,99,97
2009,10,01630605,Lynn,"Lynn Voc Tech Institute",White,68,59,3,1,1,,4,67,60,3,1,,,3,69,58,3,1,,,7,97,99,99
2009,10,01630605,Lynn,"Lynn Voc Tech Institute","LEP/Formerly LEP",70,57,2,1,,8,2,71,58,2,,,8,3,73,54,2,2,,8,7,99,100,97
2009,10,01630605,Lynn,"Lynn Voc Tech Institute","Special Ed",59,47,10,1,,,1,59,46,10,1,1,,1,60,47,10,2,,,1,98,97,97
2009,03,01640010,Lynnfield,"Huckleberry Hill","All Students",84,84,,,,,,85,84,,,,1,,,,,,,,,100,100,
2009,03,01640010,Lynnfield,"Huckleberry Hill",White,74,74,,,,,,75,74,,,,1,,,,,,,,,100,100,
2009,04,01640010,Lynnfield,"Huckleberry Hill","All Students",79,77,1,,,,1,79,78,,,,,1,,,,,,,,100,100,
2009,04,01640010,Lynnfield,"Huckleberry Hill",White,67,65,1,,,,1,67,66,,,,,1,,,,,,,,100,100,
2009,03,01640020,Lynnfield,"Summer Street","All Students",105,105,,,,,,105,105,,,,,,,,,,,,,100,100,
2009,03,01640020,Lynnfield,"Summer Street",White,98,98,,,,,,98,98,,,,,,,,,,,,,100,100,
2009,03,01640020,Lynnfield,"Summer Street","Special Ed",15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2009,04,01640020,Lynnfield,"Summer Street","All Students",104,103,1,,,,,104,103,1,,,,,,,,,,,,100,100,
2009,04,01640020,Lynnfield,"Summer Street",White,98,97,1,,,,,98,97,1,,,,,,,,,,,,100,100,
2009,04,01640020,Lynnfield,"Summer Street","Special Ed",15,14,1,,,,,15,14,1,,,,,,,,,,,,100,100,
2009,05,01640405,Lynnfield,"Lynnfield Middle School","All Students",206,205,,,,,1,206,205,,,,,1,206,205,,,,,1,100,100,100
2009,05,01640405,Lynnfield,"Lynnfield Middle School","Low Income",16,16,,,,,,16,16,,,,,,16,16,,,,,,100,100,100
2009,05,01640405,Lynnfield,"Lynnfield Middle School",White,188,187,,,,,1,188,187,,,,,1,188,187,,,,,1,100,100,100
2009,05,01640405,Lynnfield,"Lynnfield Middle School","Special Ed",26,26,,,,,,26,26,,,,,,26,26,,,,,,100,100,100
2009,06,01640405,Lynnfield,"Lynnfield Middle School","All Students",190,186,2,,,1,1,190,186,2,,,1,1,,,,,,,,100,100,
2009,06,01640405,Lynnfield,"Lynnfield Middle School","Low Income",10,9,,,,1,,10,9,,,,1,,,,,,,,,100,100,
2009,06,01640405,Lynnfield,"Lynnfield Middle School",White,175,172,1,,,1,1,175,172,1,,,1,1,,,,,,,,100,100,
2009,06,01640405,Lynnfield,"Lynnfield Middle School","Special Ed",28,26,2,,,,,28,26,2,,,,,,,,,,,,100,100,
2009,07,01640405,Lynnfield,"Lynnfield Middle School","All Students",174,173,,,,,1,174,173,,,,,1,,,,,,,,100,100,
2009,07,01640405,Lynnfield,"Lynnfield Middle School","Low Income",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2009,07,01640405,Lynnfield,"Lynnfield Middle School",White,158,157,,,,,1,158,157,,,,,1,,,,,,,,100,100,
2009,07,01640405,Lynnfield,"Lynnfield Middle School","Special Ed",22,22,,,,,,22,22,,,,,,,,,,,,,100,100,
