adminyear,grade,org_code,district,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,eayp_part_rate,mayp_part_rate,sayp_part_rate
2007,06,00020015,Acton,McCarthy-Towne,White,66,66,,,,,,66,66,,,,,,,,,,,,,100,100,
2007,06,00020015,Acton,McCarthy-Towne,"Special Ed",17,17,,,,,,17,17,,,,,,,,,,,,,100,100,
2007,03,00020020,Acton,Douglas,"All Students",74,72,,,,2,,74,72,,,,2,,,,,,,,,100,100,
2007,03,00020020,Acton,Douglas,Asian,15,14,,,,1,,15,14,,,,1,,,,,,,,,100,100,
2007,03,00020020,Acton,Douglas,White,54,53,,,,1,,54,53,,,,1,,,,,,,,,100,100,
2007,04,00020020,Acton,Douglas,"All Students",73,71,,,,,2,73,71,,,,,2,,,,,,,,100,100,
2007,04,00020020,Acton,Douglas,Asian,14,13,,,,,1,14,13,,,,,1,,,,,,,,100,100,
2007,04,00020020,Acton,Douglas,White,53,52,,,,,1,53,52,,,,,1,,,,,,,,100,100,
2007,04,00020020,Acton,Douglas,"Special Ed",14,13,,,,,1,14,13,,,,,1,,,,,,,,100,100,
2007,05,00020020,Acton,Douglas,"All Students",78,77,,,,,1,78,77,,,,,1,78,77,,,,,1,100,100,100
2007,05,00020020,Acton,Douglas,Asian,13,13,,,,,,13,13,,,,,,13,13,,,,,,100,100,100
2007,05,00020020,Acton,Douglas,White,61,61,,,,,,61,61,,,,,,61,61,,,,,,100,100,100
2007,05,00020020,Acton,Douglas,"Special Ed",13,13,,,,,,13,13,,,,,,13,13,,,,,,100,100,100
2007,06,00020020,Acton,Douglas,"All Students",75,75,,,,,,75,75,,,,,,,,,,,,,100,100,
2007,06,00020020,Acton,Douglas,Asian,12,12,,,,,,12,12,,,,,,,,,,,,,100,100,
2007,06,00020020,Acton,Douglas,White,58,58,,,,,,58,58,,,,,,,,,,,,,100,100,
2007,06,00020020,Acton,Douglas,"Special Ed",17,17,,,,,,17,17,,,,,,,,,,,,,100,100,
