"Grade Levels by District Report",,,
"District Code",District,"School Level Description","Number of Schools"
03060000,Wales,Elementary,1
03070000,Walpole,Elementary,5
03070000,Walpole,"Middle/Junior High",2
03070000,Walpole,Secondary,1
03080000,Waltham,Elementary,6
03080000,Waltham,"Middle/Junior High",2
03080000,Waltham,Secondary,1
03090000,Ware,Elementary,1
03090000,Ware,"Middle/Junior High",1
03090000,Ware,Secondary,1
03100000,Wareham,Elementary,3
03100000,Wareham,"Middle/Junior High",1
03100000,Wareham,Secondary,3
03140000,Watertown,Elementary,3
03140000,Watertown,"Middle/Junior High",1
03140000,Watertown,Secondary,1
03150000,Wayland,Elementary,3
03150000,Wayland,"Middle/Junior High",1
03150000,Wayland,Secondary,1
03160000,Webster,Elementary,2
03160000,Webster,Secondary,1
03170000,Wellesley,Elementary,7
03170000,Wellesley,"Middle/Junior High",1
03170000,Wellesley,Secondary,1
03180000,Wellfleet,Elementary,1
03210000,Westborough,Elementary,4
03210000,Westborough,"Middle/Junior High",1
03210000,Westborough,Secondary,1
03220000,"West Boylston",Elementary,1
03220000,"West Boylston",Secondary,1
03230000,"West Bridgewater",Elementary,3
03230000,"West Bridgewater",Secondary,1
03250000,Westfield,Elementary,8
03250000,Westfield,"Middle/Junior High",2
03250000,Westfield,Secondary,2
03260000,Westford,Elementary,7
03260000,Westford,"Middle/Junior High",2
03260000,Westford,Secondary,1
03270000,Westhampton,Elementary,1
03300000,Weston,Elementary,3
03300000,Weston,"Middle/Junior High",1
03300000,Weston,Secondary,1
03310000,Westport,Elementary,2
03310000,Westport,"Middle/Junior High",1
03310000,Westport,Secondary,1
03320000,"West Springfield",Elementary,7
03320000,"West Springfield","Middle/Junior High",1
03320000,"West Springfield",Secondary,2
03350000,Westwood,Elementary,6
03350000,Westwood,"Middle/Junior High",1
03350000,Westwood,Secondary,1
03360000,Weymouth,Elementary,9
03360000,Weymouth,"Middle/Junior High",2
03360000,Weymouth,Secondary,1
03370000,Whately,Elementary,1
03400000,Williamsburg,Elementary,1
03410000,Williamstown,Elementary,1
03420000,Wilmington,Elementary,6
03420000,Wilmington,"Middle/Junior High",1
03420000,Wilmington,Secondary,1
03430000,Winchendon,Elementary,3
03430000,Winchendon,"Middle/Junior High",1
03430000,Winchendon,Secondary,1
03440000,Winchester,Elementary,5
03440000,Winchester,"Middle/Junior High",1
03440000,Winchester,Secondary,1
03460000,Winthrop,Elementary,2
03460000,Winthrop,"Middle/Junior High",1
03460000,Winthrop,Secondary,1
03470000,Woburn,Elementary,8
03470000,Woburn,"Middle/Junior High",2
03470000,Woburn,Secondary,1
03480000,Worcester,Elementary,34
03480000,Worcester,"Middle/Junior High",4
03480000,Worcester,Secondary,7
03500000,Wrentham,Elementary,2
03700000,"Institutional Schools",Other,5
04060000,"Northampton-Smith Vocational Agricultural",Secondary,1
04070000,"Dudley Street Neighborhood Charter School (District)",Elementary,1
04090000,"Alma del Mar Charter School (District)",Elementary,1
04100000,"Excel Academy Charter (District)","Middle/Junior High",1
04110000,"Boston Green Academy Horace Mann Charter School (District)",Secondary,1
04120000,"Academy Of the Pacific Rim Charter Public (District)",Secondary,1
04130000,"Four Rivers Charter Public (District)",Secondary,1
04140000,"Berkshire Arts and Technology Charter Public (District)",Secondary,1
04150000,"Amesbury Academy Charter Public (District)",Secondary,1
04160000,"Boston Preparatory Charter Public (District)","Middle/Junior High",1
04170000,"Bridge Boston Charter School (District)",Elementary,1
04180000,"Christa McAuliffe Regional Charter Public (District)","Middle/Junior High",1
04190000,"Smith Leadership Academy Charter Public (District)","Middle/Junior High",1
04200000,"Benjamin Banneker Charter Public (District)",Elementary,1
04240000,"Boston Day and Evening Academy Charter (District)",Secondary,1
04260000,"Community Day Charter Public School - Gateway (District)",Elementary,1
04270000,"Barnstable Community Horace Mann Charter Public (District)",Elementary,1
04280000,"Brooke Charter School Roslindale (District)","Middle/Junior High",1
04290000,"KIPP Academy Lynn Charter (District)",Elementary,1
04300000,"Advanced Math and Science Academy Charter (District)","Middle/Junior High",1
04310000,"Community Day Charter Public School - R. Kingman Webster (District)",Elementary,1
04320000,"Cape Cod Lighthouse Charter (District)","Middle/Junior High",1
04350000,"Innovation Academy Charter (District)","Middle/Junior High",1
04360000,"Community Charter School of Cambridge (District)",Secondary,1
04370000,"City On A Hill Charter Public (District)",Secondary,1
04380000,"Codman Academy Charter Public (District)",Secondary,1
04390000,"Conservatory Lab Charter (District)",Elementary,1
04400000,"Community Day Charter Public School - Prospect (District)",Elementary,1
04410000,"Sabis International Charter (District)",Secondary,1
04430000,"Brooke Charter School Mattapan (District)",Elementary,1
04440000,"Neighborhood House Charter (District)",Elementary,1
04450000,"Abby Kelley Foster Charter Public (District)",Secondary,1
04460000,"Foxborough Regional Charter (District)",Secondary,1
04470000,"Benjamin Franklin Classical Charter Public (District)",Elementary,1
