,"Massachusetts School and District Profiles",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"2012 - 2013 Special Education Report",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"NOTES: Special Education data are suppressed for enrollment counts fewer than 6.",,,,,,,,,,,,,,,,,,,,,
,"      NA = Not Applicable; NR = Not Reported; ""-"" = data suppressed.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"Indicator 1",,,"Indicator 2",,,"Indicator 5",,,"Indicator 6",,,"Indicator 7",,"Indicator 8",,,"Indicator 14",,
,,,"(Spec Ed. Grad Rate)",,,"(Spec Ed. Dropout)",,,"(LRE Ages 6-21)",,,"(LRE Ages 3-5)",,,"(Early Childhood Outcomes)",,"(Parent Involvement)",,,"(Post-School Outcomes for Students with IEPs)",,
,"Org Name","Org Code","Grad Cohort #","Grad #","Grad %","Enr #","Drop #","Drop %",Students,"Full Incl","Full Incl",Students,"Full Incl #","Full Incl %","Cohort Completion Year","Substantial growth of knowledge & skills","Survey Period","Surv Meet Std #","Surv Meet Std %","Sch Yr Rev","# of Students Engaged","Dist Rate"
Year,,,,,,,,,#,#,%,#,,,,,,,,,,
2012,Fitchburg,00970000,91,59,64.8,244,26,10.7,1027,429,41.8,120,57,47.5,2010-11,62.5,"Spring 2011",-,-,2012-13,NR,NR
2012,Florida,00980000,NA,NA,NA,NA,NA,NA,17,17,100,2,-,-,2012-13,-,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Foxborough,00990000,35,35,100,135,1,0.7,416,245,58.9,40,20,50,2012-13,-,"Spring 2013",NA,NA,2010-11,8,100
2012,Framingham,01000000,138,102,73.9,378,12,3.2,1734,956,55.1,196,48,24.5,2013-14,72.7,"Spring 2012",241,79,2011-12,98,100
2012,Franklin,01010000,81,64,79,263,4,1.5,854,566,66.3,87,2,2.3,NA,NA,"Spring 2011",231,86.8,2012-13,NR,NR
2012,Gardner,01030000,45,18,40,96,12,12.5,447,205,45.9,67,40,59.7,2012-13,73.3,"Spring 2013",NA,NA,2010-11,2,100
2012,Georgetown,01050000,26,20,76.9,67,1,1.5,189,151,79.9,32,18,56.3,2011-12,-,"Spring 2012",34,71,2009-10,6,85.7
2012,Gloucester,01070000,66,46,69.7,218,15,6.9,617,441,71.5,70,25,35.7,NA,NA,"Spring 2011",30,85.7,2012-13,NR,NR
2012,Gosnold,01090000,NA,NA,NA,NA,NA,NA,0,-,-,0,-,-,2013-14,-,"Spring 2012",-,-,2011-12,NA,NA
2012,Grafton,01100000,29,20,69,91,0,0,402,186,46.3,64,4,6.3,NA,NA,"Spring 2011",16,69.6,2012-13,NR,NR
