FY_CODE,ORG_CODE,ORG_NAME,TECH_STU_PER_COMP_CNT,TECH_CLASS_COMP_NET_PCT
2003,00440035,Gilmore,6,43
2003,00440045,Hancock,8.6,45
2003,00440050,"Howard Center",5.1,0
2003,00440055,Huntington,9.8,45
2003,00440065,"Louis F Angelo Elem",3.6,100
2003,00440078,"Oscar F Raymond",4.7,100
2003,00440080,"B B Russell",10.6,0
2003,00440095,"Eldon B. Keith Center",9.1,40
2003,00440100,Whitman,4.5,75
2003,00440110,Downey,5.9,44
2003,00440120,"Joseph F Plouffe Elem",4,100
2003,00440400,Ithaka/Lincoln,6.1,0
2003,00440405,"East Junior High",5.5,56
2003,00440410,"North Junior High",7.1,100
2003,00440415,"South Junior High",7.1,50
2003,00440420,"West Junior High",6.5,52
2003,00440505,"Brockton High",5.6,100
2003,00450000,Brookfield,3.4,100
2003,00450005,"Brookfield Elementary",3.4,100
2003,00460000,Brookline,3.6,97.1
2003,00460005,"Edith C Baker",2.8,100
2003,00460015,"Edward Devotion",4.5,100
2003,00460020,"Michael Driscoll",3.6,79
2003,00460025,Heath,2.6,100
2003,00460030,Lawrence,3.3,83
2003,00460035,"William H Lincoln",4.2,100
2003,00460040,Pierce,4,100
2003,00460045,"John D Runkle",3.1,100
2003,00460060,"The Lynch Center",,
2003,00460505,"Brookline High",3.8,100
2003,00480000,Burlington,3.1,100
2003,00480007,"Fox Hill",6.9,100
2003,00480015,Memorial,,
2003,00480020,"Pine Glen Elementary",3.4,100
2003,00480035,"Francis Wyman Elem",6.1,100
2003,00480303,"Marshall Simonds Middle",2.9,100
2003,00480505,"Burlington High",1.9,100
2003,00490000,Cambridge,3.8,100
2003,00490005,"Maria L. Baldwin",11.9,100
2003,00490006,"Amigos School",9.2,100
2003,00490007,Cambridgeport,8.1,100
2003,00490010,"M E Fitzgerald",,
2003,00490020,Haggerty,5.9,100
2003,00490025,"Charles G Harrington",,
2003,00490030,King,4.7,100
2003,00490035,"King Open",8.3,100
2003,00490040,Kennedy-Longfellow,5.5,100
2003,00490045,Morse,3.6,100
2003,00490050,Peabody,8.2,100
2003,00490055,"Robert F Kennedy",,
2003,00490065,"John M Tobin",4.9,100
2003,00490080,"Graham and Parks",6.4,100
2003,00490090,"Fletcher/Maynard Academy",1.1,100
2003,00490506,"Cambridge Rindge and Latin",2.8,100
2003,00500000,Canton,2.7,100
2003,00500012,"Lt Peter M Hansen",3,100
2003,00500017,"John F Kennedy",3,100
2003,00500020,"Dean S Luce",3.6,100
2003,00500305,"Wm H Galvin Middle",2.2,100
2003,00500505,"Canton High",2.4,100
2003,00510000,Carlisle,7.5,100
2003,00510025,"Carlisle School",7.5,100
2003,00520000,Carver,5.5,100
2003,00520005,"Gov John Carver Primary",8.4,100
2003,00520010,"Gov John Carver Elem",7.4,100
2003,00520305,"Carver Middle",5.3,100
2003,00520505,"Carver High School",3.6,100
2003,00550000,Chatham,1.8,100
2003,00550005,"Chatham Elementary",2.5,100
2003,00550305,"Chatham Middle School",1.9,100
2003,00550505,"Chatham High",1.2,100
2003,00560000,Chelmsford,4.5,100
2003,00560005,"Center Elementary School",2.6,100
2003,00560015,"South Row",4.5,100
2003,00560020,"Westlands Elementary",4.4,100
2003,00560025,"Charles D Harrington",5.6,100
2003,00560030,"Byam School",4.6,100
2003,00560305,"Col Moses Parker Schl",4.9,100
2003,00560310,"McCarthy Middle School",6,100
2003,00560505,"Chelmsford High",4.2,100
2003,00570000,Chelsea,3.7,100
2003,00570003,"Shurtleff Early Childhood",9.4,100
2003,00570025,"William A Berkowitz Elem",3.4,100
2003,00570030,"Edgar A Hooks Elem",3.8,100
2003,00570035,"George D Kelly Elem",3.7,100
2003,00570040,"Frank M Sokolowski Elem",3.9,100
2003,00570050,"Clark Avenue School",4.8,100
2003,00570325,"Williams Middle School",3.1,100
2003,00570505,"Chelsea High",2.5,100
2003,00570510,"Tudor Hill School",4.3,100
2003,00610000,Chicopee,6,97.8
2003,00610001,"Szetela ECC",24.1,100
2003,00610003,Barry,5.3,100
2003,00610010,Belcher,5.1,100
2003,00610015,Bowe,8.4,100
2003,00610020,Bowie,6.6,100
2003,00610021,"Chapin Alternative School",4.9,8
2003,00610022,Litwin,9.7,100
2003,00610025,Chapin,,
2003,00610040,Lambert-Lavoie,5.9,100
2003,00610050,Selser,5.7,100
2003,00610065,"Streiber Memorial School",6.3,100
2003,00610090,"Gen John J Stefanik",8.2,100
2003,00610305,"Bellamy Middle",6.1,100
2003,00610310,"Fairview Middle",4.9,100
2003,00610505,"Chicopee High",8,100
2003,00610510,"Chicopee Comprehensive HS",3.7,100
2003,00630000,Clarksburg,8.8,100
2003,00630010,"Clarksburg Elementary",8.8,100
2003,00640000,Clinton,3.4,100
2003,00640035,Parkhurst,,
2003,00640050,"Clinton Elementary",14.7,100
2003,00640305,"Clinton Middle School",4.6,100
2003,00640505,"Clinton Senior High",1.6,100
2003,00650000,Cohasset,2.2,100
2003,00650005,"Deer Hill",2.1,100
2003,00650010,"Joseph Osgood",6.2,100
2003,00650505,"Cohasset Middle/High School",1.4,100
2003,00670000,Concord,4,100
2003,00670005,Alcott,4.6,100
2003,00670020,Thoreau,5,100
2003,00670030,Willard,4.5,100
2003,00670305,"Concord Middle",3.1,100
2003,00680000,Conway,3.3,100
2003,00680005,"Conway Grammar",3.3,100
2003,00710000,Danvers,6.5,100
2003,00710010,Highlands,8,100
2003,00710015,"Great Oak",14.8,100
2003,00710030,Riverside,4.5,100
2003,00710032,"Ivan G Smith",6.9,100
2003,00710045,"Willis E Thorpe",5.7,100
2003,00710305,"Dunn Middle",6,100
2003,00710505,"Danvers High",6.2,100
2003,00720000,Dartmouth,3.7,100
2003,00720010,"Andrew B Cushman",16.1,100
2003,00720015,"Joseph Demello",11.2,100
2003,00720020,"Job S Gidley",12.3,100
2003,00720030,"George H Potter",8.6,100
2003,00720040,"Dartmouth Elementary School",,
2003,00720050,"Dartmouth Middle",6.6,100
2003,00720505,"Dartmouth High",1.6,100
2003,00730000,Dedham,3.2,100
2003,00730005,"Early Childhood Center",5.1,100
2003,00730010,Avery,3.1,100
2003,00730025,Greenlodge,3.1,100
2003,00730030,Oakdale,3.1,100
2003,00730045,Riverdale,3.2,100
2003,00730305,"Dedham Middle School",3.2,100
2003,00730505,"Dedham High",3,100
2003,00740000,Deerfield,7.1,100
2003,00740015,"Deerfield Elem",7.1,100
2003,00770000,Douglas,7.1,100
2003,00770003,"Douglas Early Childhood",37.4,100
2003,00770010,"Douglas Elementary",6.3,100
2003,00770100,"Douglas Intermediate School",,
2003,00770505,"Douglas High School",5.8,100
2003,00780000,Dover,2.3,100
2003,00780005,Chickering,2.3,100
2003,00790000,Dracut,4.9,98.4
2003,00790020,"Joseph A Campbell Elem",10.5,100
2003,00790025,"Parker Avenue",5.4,100
2003,00790030,"Greenmont Avenue",4.5,100
2003,00790035,"Brookside Elementary",7.6,100
2003,00790040,"George H. Englesby Intermediate",9.7,88
2003,00790410,"Lakeview Junior High",2.3,100
2003,00790505,"Dracut Senior High",4.7,100
2003,00820000,Duxbury,4.3,100
2003,00820004,"Alden School",3.3,100
2003,00820006,"Chandler Elementary",6.2,100
2003,00820305,"Duxbury Middle",5.2,100
2003,00820505,"Duxbury High",3.4,100
2003,00830000,"East Bridgewater",4.9,100
2003,00830005,Central,4.3,100
2003,00830010,"Gordon W Mitchell",5.8,100
2003,00830505,"East Bridgewater High",4.8,100
2003,00850000,Eastham,3.8,100
2003,00850005,"Eastham Elementary",3.8,100
2003,00860000,Easthampton,11.4,67.7
2003,00860005,"Center School",25,15
2003,00860010,Maple,73.3,5
2003,00860015,Parsons,,
2003,00860020,"Neil A Pepin",153,21
2003,00860305,"White Brook Middle School",7.7,100
2003,00860505,"Easthampton High",8.7,100
2003,00870000,"East Longmeadow",2.6,100
2003,00870010,Mapleshade,3.6,100
2003,00870013,"Meadow Brook",5.1,100
2003,00870015,"Mountain View",3.2,100
2003,00870305,"Birchland Park",1.8,100
2003,00870505,"East Longmeadow High",2.3,100
2003,00880000,Easton,6.1,98.6
2003,00880003,"Center School",19.4,100
2003,00880015,"Parkview Elementary",16.1,100
2003,00880020,"Moreau Hall",14.1,100
2003,00880025,"H H Richardson School",4.3,100
2003,00880030,"F L Olmsted",4.4,100
2003,00880405,"Easton Junior High",8.4,96
2003,00880505,"Oliver Ames High",3.4,98
2003,00890000,Edgartown,3.2,100
2003,00890005,"Edgartown Elementary",3.2,100
2003,00910000,Erving,2.5,100
2003,00910030,"Erving Elementary",2.5,100
2003,00930000,Everett,6.3,43
2003,00930003,"Adams ECC",,
2003,00930010,"Sumner G. Whittier School",9.6,17
2003,00930011,Devens,,
2003,00930018,"Madeline English School",,
2003,00930028,"George Keverian School",,
2003,00930038,"Lafayette School",2.5,100
2003,00930040,"Albert W Lewis",,
2003,00930058,"Parlin School",10.3,52
2003,00930060,Webster,,
2003,00930505,"Everett High",6.8,27
2003,00940000,Fairhaven,12.6,99.1
2003,00940010,"East Fairhaven",11.9,94
2003,00940015,Oxford,11,100
2003,00940020,Rogers,10.8,100
2003,00940030,"Leroy Wood",8.4,100
2003,00940305,"Hastings Middle",18.6,100
2003,00940505,"Fairhaven High",,
2003,00950000,"Fall River",6.7,63.7
2003,00950010,"Hector L Belisle",15,100
2003,00950012,"N B Borden",13.4,18
2003,00950015,"Brayton Avenue",,
2003,00950020,"Charles V Carroll",18.6,7
2003,00950025,"William Connell",11.9,100
2003,00950030,Coughlin,10,100
2003,00950040,Davol,12.9,100
2003,00950045,"John J Doran",3,100
2003,00950050,"Hugo A Dubuque",15.9,100
2003,00950055,"Boys Club Alt",2.3,0
2003,00950060,"Fowler Elementary School",22,100
2003,00950065,"William S Greene",3.7,100
2003,00950067,"Frank M Silvia",,
2003,00950070,"Harriet T Healy",15.6,100
2003,00950075,Highland,,
2003,00950080,"Laurel Lake",14.6,100
2003,00950085,"A S LeTourneau",18.3,0
2003,00950090,"Leontine Lincoln",12.1,100
2003,00950100,"Osborn Street",14.9,100
2003,00950110,"The Learning Center",,
2003,00950120,Slade,12,100
2003,00950125,"Ralph M Small",10.3,100
2003,00950130,"Spencer Borden",3.1,100
2003,00950135,Stone,6.2,100
2003,00950140,"James Tansey",13.6,23
2003,00950145,"Samuel Watson",11.5,100
2003,00950150,Westall,10.5,100
2003,00950155,"William J Wiley",8.3,22
2003,00950160,"Susan H Wixon",17.8,100
2003,00950305,"Edmond P Talbot Middle",10.8,19
2003,00950310,"Henry Lord Middle",7.6,100
2003,00950315,"Morton Middle",15.8,13
2003,00950320,"Matthew J Kuss Middle",4.3,83
2003,00950330,"Fall River Alt",8.2,100
2003,00950505,"B M C Durfee High",4.7,44
2003,00960000,Falmouth,6.5,94.4
2003,00960005,"East Falmouth Elem",8.1,100
2003,00960015,Teaticket,6.7,100
2003,00960020,Mullen-Hall,7.6,37
2003,00960030,"North Falmouth Elem",8.2,100
2003,00960305,"Morse Pond School",4.6,100
2003,00960405,Lawrence,8.5,100
2003,00960505,"Falmouth High",5.8,100
2003,00970000,Fitchburg,7.7,98.1
2003,00970016,"Crocker Elementary",11.5,100
