,"Massachusetts School and District Profiles",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"2006 - 2011 Special Education Report",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"NOTES: Special Education data are suppressed for enrollment counts fewer than 6.",,,,,,,,,,,,,,,,,,
,"      NA = Not Applicable; NR = Not Reported; ""-"" = data suppressed.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"Indicator 1",,,"Indicator 2",,,"Indicator 5",,,"Indicator 7",,"Indicator 8",,,"Indicator 14",,
,,,"(Spec Ed. Grad Rate)",,,"(Spec Ed. Dropout)",,,"(LRE Ages 6-21)",,,"(Early Childhood Outcomes)",,"(Parent Involvement)",,,"(Post-School Outcomes for Students with IEPs)",,
,"Org Name","Org Code","Grad Cohort #","Grad #","Grad %","Enr #","Drop #","Drop %",Students,"Full Incl","Full Incl","Cohort Completion Year","Substantial growth of knowledge & skills","Survey Period","Surv Meet Std #","Surv Meet Std %","Sch Yr Rev","# of Students Engaged","Dist Rate"
YEAR,,,,,,,,,#,#,%,,,,,,,,
2006,Abington,00010000,25,17,68,62,2,3.2,287,190,66.2,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Acton,00020000,NA,NA,NA,NA,NA,NA,369,270,73.2,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Acushnet,00030000,NA,NA,NA,NA,NA,NA,164,123,75,-,N/A,"Fall 2006",47,90.4,,-,-
2006,Agawam,00050000,61,37,60.7,160,8,5,627,371,59.2,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Amesbury,00070000,34,17,50,92,2,2.2,370,172,46.5,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Amherst,00080000,NA,NA,NA,NA,NA,NA,198,107,54,-,N/A,"Fall 2006",11,73.3,,-,-
2006,Andover,00090000,71,54,76.1,233,3,1.3,886,637,71.9,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Arlington,00100000,65,45,69.2,186,5,2.7,682,333,48.8,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Ashland,00140000,39,37,94.9,64,0,0,320,229,71.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Attleboro,00160000,74,31,41.9,287,21,7.3,992,671,67.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Auburn,00170000,25,20,80,60,3,5,243,133,54.7,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Avon,00180000,6,5,83.3,21,2,9.5,91,13,14.3,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Ayer,00190000,10,4,40,39,1,2.6,181,134,74,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Barnstable,00200000,81,33,40.7,179,2,1.1,543,242,44.6,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Bedford,00230000,44,32,72.7,113,1,0.9,411,295,71.8,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Belchertown,00240000,23,19,82.6,77,1,1.3,379,186,49.1,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Bellingham,00250000,18,13,72.2,101,3,3,299,189,63.2,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Belmont,00260000,42,34,81,130,2,1.5,487,275,56.5,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Berkley,00270000,NA,NA,NA,NA,NA,NA,123,34,27.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Berlin,00280000,NA,NA,NA,NA,NA,NA,38,30,78.9,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Beverly,00300000,81,46,56.8,211,10,4.7,820,390,47.6,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Billerica,00310000,65,38,58.5,165,0,0,1046,603,57.6,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Boston,00350000,919,333,36.2,3302,406,12.3,10522,3164,30.1,-,N/A,"Fall 2006",108,66.7,,-,-
2006,Bourne,00360000,19,10,52.6,89,7,7.9,341,17,5,-,N/A,"Fall 2006",55,73.3,,-,-
2006,Boxborough,00370000,NA,NA,NA,NA,NA,NA,55,28,50.9,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Boxford,00380000,NA,NA,NA,NA,NA,NA,111,96,86.5,-,N/A,"Fall 2006",23,74.2,,-,-
2006,Boylston,00390000,NA,NA,NA,NA,NA,NA,39,32,82.1,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Braintree,00400000,91,75,82.4,222,2,0.9,928,560,60.3,-,N/A,"Fall 2006",120,83.3,,-,-
2006,Brewster,00410000,NA,NA,NA,NA,NA,NA,64,8,12.5,-,N/A,"Fall 2006",NR,NR,,-,-
2006,Brimfield,00430000,NA,NA,NA,NA,NA,NA,53,19,35.8,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Brockton,00440000,145,62,42.8,447,37,8.3,1853,1040,56.1,-,N/A,"Fall 2006",178,76.4,,-,-
2006,Brookfield,00450000,NA,NA,NA,NA,NA,NA,35,25,71.4,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Brookline,00460000,112,95,84.8,332,9,2.7,1011,322,31.8,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Burlington,00480000,56,46,82.1,94,0,0,432,273,63.2,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Cambridge,00490000,112,84,75,302,7,2.3,1251,880,70.3,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Canton,00500000,35,26,74.3,94,0,0,407,263,64.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Carlisle,00510000,NA,NA,NA,NA,NA,NA,75,66,88,-,N/A,"Fall 2006",11,84.6,,-,-
2006,Carver,00520000,19,11,57.9,50,5,10,264,120,45.5,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Chatham,00550000,12,3,25,24,0,0,76,23,30.3,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Chelmsford,00560000,71,61,85.9,218,2,0.9,664,301,45.3,-,N/A,"Fall 2006",105,82,,-,-
2006,Chelsea,00570000,81,24,29.6,201,21,10.4,799,375,46.9,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Chicopee,00610000,102,39,38.2,345,33,9.6,1017,411,40.4,-,N/A,"Fall 2006",109,76.8,,-,-
2006,Clarksburg,00630000,NA,NA,NA,NA,NA,NA,19,6,31.6,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Clinton,00640000,22,18,81.8,53,1,1.9,259,84,32.4,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Cohasset,00650000,15,14,93.3,44,0,0,167,142,85,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Concord,00670000,NA,NA,NA,NA,NA,NA,376,200,53.2,-,N/A,"Fall 2006",73,77.7,,-,-
2006,Conway,00680000,NA,NA,NA,NA,NA,NA,35,13,37.1,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Danvers,00710000,24,15,62.5,107,8,7.5,467,32,6.9,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Dartmouth,00720000,49,35,71.4,168,2,1.2,604,344,57,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Dedham,00730000,32,19,59.4,102,9,8.8,495,303,61.2,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Deerfield,00740000,NA,NA,NA,NA,NA,NA,57,34,59.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Douglas,00770000,13,9,69.2,18,1,5.6,128,28,21.9,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Dover,00780000,NA,NA,NA,NA,NA,NA,75,57,76,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Dracut,00790000,37,17,45.9,98,7,7.1,420,236,56.2,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Duxbury,00820000,29,23,79.3,110,1,0.9,376,227,60.4,-,N/A,"Spring 2008",NR,NR,,-,-
2006,"East Bridgewater",00830000,22,17,77.3,51,1,2,233,203,87.1,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Eastham,00850000,NA,NA,NA,NA,NA,NA,22,19,86.4,-,N/A,"Fall 2006",NR,NR,,-,-
2006,Easthampton,00860000,15,7,46.7,60,0,0,272,145,53.3,-,N/A,"Fall 2006",41,75.9,,-,-
2006,"East Longmeadow",00870000,50,42,84,186,2,1.1,602,413,68.6,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Easton,00880000,45,41,91.1,157,1,0.6,611,190,31.1,-,N/A,"Fall 2006",101,77.1,,-,-
2006,Edgartown,00890000,NA,NA,NA,NA,NA,NA,67,30,44.8,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Erving,00910000,NA,NA,NA,NA,NA,NA,18,14,77.8,-,N/A,"Fall 2006",-,-,,-,-
2006,Everett,00930000,72,53,73.6,215,8,3.7,763,448,58.7,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Fairhaven,00940000,18,11,61.1,77,4,5.2,329,132,40.1,-,N/A,"Spring 2007",NR,NR,,-,-
2006,"Fall River",00950000,157,43,27.4,437,72,16.5,1484,797,53.7,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Falmouth,00960000,46,28,60.9,136,9,6.6,596,327,54.9,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Fitchburg,00970000,76,35,46.1,198,15,7.6,1029,385,37.4,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Florida,00980000,NA,NA,NA,NA,NA,NA,14,13,92.9,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Foxborough,00990000,44,37,84.1,163,4,2.5,492,333,67.7,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Framingham,01000000,85,55,64.7,262,5,1.9,1423,566,39.8,-,N/A,"Fall 2006",194,79.5,,-,-
2006,Franklin,01010000,59,44,74.6,216,5,2.3,790,511,64.7,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Freetown,01020000,NA,NA,NA,NA,NA,NA,58,30,51.7,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Gardner,01030000,76,43,56.6,120,19,15.8,512,132,25.8,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Georgetown,01050000,13,11,84.6,57,1,1.8,173,137,79.2,-,N/A,"Spring 2008",NR,NR,,-,-
2006,Gloucester,01070000,51,35,68.6,234,18,7.7,671,518,77.2,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Gosnold,01090000,NA,NA,NA,NA,NA,NA,1,-,-,-,N/A,"Fall 2006",-,-,,-,-
2006,Grafton,01100000,24,13,54.2,80,3,3.8,368,156,42.4,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Granby,01110000,16,12,75,51,0,0,183,69,37.7,-,N/A,"Fall 2006",58,89.2,,-,-
2006,Granville,01120000,NA,NA,NA,NA,NA,NA,33,4,12.1,-,N/A,"Spring 2009",NR,NR,,-,-
2006,Greenfield,01140000,34,10,29.4,59,6,10.2,266,30,11.3,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Hadley,01170000,-,-,-,15,0,0,55,38,69.1,-,N/A,"Spring 2007",NR,NR,,-,-
2006,Halifax,01180000,NA,NA,NA,NA,NA,NA,91,40,44,-,N/A,"Fall 2006",9,64.3,,-,-
