			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2010	Pelham	02300000	29	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Pembroke	02310000	461	0	0	-	-	No	No	2009-10	36	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Petersham	02340000	9	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Pittsfield	02360000	1059	12	1.1	-	-	No	No	2010-11	NR	NR	2009-10	7	-	-	2012-13	NR	NR
2010	Plainville	02380000	117	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Plymouth	02390000	1451	24	1.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NR	NR
2010	Plympton	02400000	35	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Provincetown	02420000	45	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Quincy	02430000	1448	7	0.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NR	NR
2010	Randolph	02440000	655	9	1.4	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Reading	02460000	771	3	0.4	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Revere	02480000	894	3	0.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Richmond	02490000	17	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Rochester	02500000	92	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Rockland	02510000	417	2	0.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	22	100
2010	Rockport	02520000	190	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Rowe	02530000	2	-	-	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Salem	02580000	1104	21	1.9	-	-	No	No	2009-10	67	93.1	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Sandwich	02610000	543	6	1.1	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Saugus	02620000	438	2	0.5	-	-	No	No	2009-10	16	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Savoy	02630000	2	-	-	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Scituate	02640000	417	1	0.2	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Seekonk	02650000	269	3	1.1	-	-	No	No	2009-10	23	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Sharon	02660000	483	3	0.6	-	-	No	No	2009-10	10	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Sherborn	02690000	63	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Shirley	02700000	115	0	0	-	-	No	No	2009-10	10	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Shrewsbury	02710000	995	4	0.4	-	-	No	No	2010-11	NR	NR	2009-10	8	-	-	2012-13	NR	NR
2010	Shutesbury	02720000	19	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Somerset	02730000	320	1	0.3	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Somerville	02740000	1121	24	2.1	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Southampton	02750000	112	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Southborough	02760000	218	0	0	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Southbridge	02770000	355	4	1.1	-	-	No	No	2010-11	NR	NR	2009-10	11	11	100	2012-13	NR	NR
2010	South Hadley	02780000	354	8	2.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Springfield	02810000	6139	252	4.1	-	-	No	No	2009-10	83	83	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Stoneham	02840000	496	2	0.4	-	-	No	No	2010-11	NR	NR	2009-10	3	-	-	2012-13	NR	NR
2010	Stoughton	02850000	597	3	0.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	14	100
2010	Sturbridge	02870000	146	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Sudbury	02880000	471	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Sunderland	02890000	29	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Sutton	02900000	320	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Swampscott	02910000	341	1	0.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Swansea	02920000	322	12	3.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	17	100
2010	Taunton	02930000	1393	7	0.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	19	100
2010	Tewksbury	02950000	781	11	1.4	-	-	No	No	2009-10	54	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Tisbury	02960000	45	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Topsfield	02980000	117	0	0	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Truro	03000000	21	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Tyngsborough	03010000	270	0	0	-	-	No	No	2010-11	NR	NR	2009-10	2	-	-	2012-13	NR	NR
2010	Uxbridge	03040000	299	3	1	-	-	No	No	2010-11	NR	NR	2009-10	5	-	-	2012-13	NR	NR
2010	Wakefield	03050000	573	5	0.9	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Wales	03060000	33	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Walpole	03070000	625	5	0.8	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Waltham	03080000	1060	7	0.7	-	-	No	At-Risk	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	11	100
2010	Ware	03090000	234	0	0	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Wareham	03100000	575	10	1.7	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Watertown	03140000	471	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	20	100
2010	Wayland	03150000	510	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Webster	03160000	281	7	2.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	16	100
2010	Wellesley	03170000	824	0	0	-	-	No	No	2010-11	NR	NR	2009-10	4	-	-	2012-13	NR	NR
2010	Wellfleet	03180000	20	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Westborough	03210000	471	0	0	-	-	No	No	2009-10	29	93.5	2012-13	NR	NR	NR	2011-12	NR	NR
2010	West Boylston	03220000	155	1	0.6	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	West Bridgewater	03230000	156	0	0	-	-	No	No	2009-10	14	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Westfield	03250000	1214	23	1.9	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Westford	03260000	542	1	0.2	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Westhampton	03270000	28	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Weston	03300000	367	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Westport	03310000	290	3	1	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	West Springfield	03320000	734	18	2.5	-	-	No	No	2009-10	47	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Westwood	03350000	467	0	0	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Weymouth	03360000	1100	4	0.4	-	-	No	No	2009-10	65	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Whately	03370000	20	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Williamsburg	03400000	29	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Williamstown	03410000	64	0	0	-	-	No	No	2009-10	14	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Wilmington	03420000	537	10	1.9	-	-	No	No	2009-10	27	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Winchendon	03430000	384	2	0.5	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Winchester	03440000	631	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Winthrop	03460000	366	1	0.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Woburn	03470000	754	8	1.1	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	12	100
2010	Worcester	03480000	4782	106	2.2	-	-	No	No	2010-11	NR	NR	2009-10	41	38	92.7	2012-13	NR	NR
2010	Wrentham	03500000	159	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Northampton-Smith	04060000	178	2	1.1	-	-	No	At-Risk	2009-10	NA	NA	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Excel Academy Charter	04100000	24	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Academy Of Pacific Rim Ch	04120000	66	1	1.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	21	100
2010	Four Rivers Charter	04130000	32	1	3.1	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	-	-
2010	Berkshire Arts and Tech CS	04140000	73	4	5.5	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Acad/Strategic Learning HMCS	04150000	16	0	0	-	-	No	No	2009-10	NA	NA	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Boston Preparatory Charter	04160000	46	3	6.5	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Christa McAuliffe Regional CS	04180000	66	0	0	-	-	No	At-Risk	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Smith Leadership Academy	04190000	32	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Benjamin Banneker Charter	04200000	17	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Barnstable Horace Mann Ch	04230000	124	0	0	-	-	No	No	2009-10	10	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Boston Day and Eve Aca CS	04240000	45	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2010-11	NR	NR
2010	Barnstable Community HM CS	04270000	45	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Edward Brooke Charter	04280000	40	2	5	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Kipp Academy Charter	04290000	52	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Adv Math & Science Acad CS	04300000	21	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Cape Cod Lighthouse Chart	04320000	31	1	3.2	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Innovation Academy Charter	04350000	78	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	13	86.7
2010	Community CS of Cambridge	04360000	56	1	1.8	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	City On A Hill Charter	04370000	36	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	19	100
2010	Codman Academy	04380000	34	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Conservatory Lab Charter	04390000	15	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Community Day Charter Sch	04400000	63	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Sabis International	04410000	188	2	1.1	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Neighborhood House Chart	04440000	48	1	2.1	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Abby Kelley Foster Reg Ch	04450000	105	0	0	-	-	No	No	2009-10	8	80	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Foxboro Regional Charter	04460000	113	1	0.9	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	-	-
2010	Benjamin Franklin Charter	04470000	37	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Boston Collegiate CS	04490000	80	2	2.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	22	100
2010	Hilltown Charter School	04500000	23	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Robert M. Hughes Charter	04510000	9	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Kennedy Aca for Health Careers	04520000	14	0	0	-	-	No	No	2009-10	NA	NA	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Holyoke Community CS	04530000	79	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Lawrence Family Dev Chart	04540000	43	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Hill View Montessori CS	04550000	38	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Lowell Community Charter	04560000	80	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Lowell Middlesex Acad Ch	04580000	26	5	19.2	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	30	100
2010	Marblehead Community Ch	04640000	40	1	2.5	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Martha's Vineyard Charter	04660000	34	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Ma Academy/Math & Science	04680000	0	NA	NA	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	MATCH Charter Public High	04690000	29	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	18	100
2010	Mystic Valley Adv Reg Ch	04700000	111	1	0.9	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	11	100
2010	New Leadership HMCS	04710000	27	1	3.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	4	33.3
2010	North Central Charter Essen	04740000	54	3	5.6	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Dorchester Collegiate Aca CS	04750000	3	-	-	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Silver Hill Horace Mann CS	04770000	68	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Francis W Parker Charter	04780000	47	0	0	-	-	No	No	2009-10	NA	NA	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Pioneer Valley Perf Arts	04790000	55	0	0	-	-	No	At-Risk	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Boston Renaissance Ch Sch	04810000	117	1	0.9	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	River Valley Charter	04820000	47	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Rising Tide Charter Sch	04830000	51	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Roxbury Prep Charter	04840000	19	2	10.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Salem Academy Charter	04850000	51	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	15	100
2010	Seven Hills Charter Sch	04860000	72	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Prospect Hill Academy Charter	04870000	61	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	South Shore Charter Sch	04880000	77	1	1.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Sturgis Charter School	04890000	40	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Atlantis Charter School	04910000	100	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	MLK Jr. School of Excellence	04920000	24	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Phoenix Charter Academy	04930000	15	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Pioneer CS of Science	04940000	9	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Global Learning CS	04960000	46	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	PV Chinese Immersion CS	04970000	2	-	-	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Hampden CS of Science	04990000	9	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Acton-Boxborough	06000000	437	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	18	100
2010	Adams-Cheshire	06030000	236	1	0.4	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Amherst-Pelham	06050000	324	1	0.3	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Ashburnham-Westminster	06100000	470	3	0.6	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Athol-Royalston	06150000	414	11	2.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	26	100
2010	Berkshire Hills	06180000	214	1	0.5	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Berlin-Boylston	06200000	70	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Blackstone-Millville	06220000	346	10	2.9	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	24	100
2010	Bridgewater-Raynham	06250000	907	3	0.3	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Chesterfield-Goshen	06320000	26	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	NA	NA
2010	Central Berkshire	06350000	334	12	3.6	-	-	No	No	2009-10	11	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Concord-Carlisle	06400000	220	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Dennis-Yarmouth	06450000	527	15	2.8	-	-	No	No	2010-11	NR	NR	2009-10	5	-	-	2012-13	NR	NR
2010	Dighton-Rehoboth	06500000	510	6	1.2	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Dover-Sherborn	06550000	161	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	-	-
2010	Dudley-Charlton Reg	06580000	599	10	1.7	-	-	No	No	2010-11	NR	NR	2009-10	4	-	-	2012-13	NR	NR
2010	Nauset	06600000	262	6	2.3	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Farmington River Reg	06620000	28	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Freetown-Lakeville	06650000	345	17	4.9	-	-	No	No	2009-10	12	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Frontier	06700000	164	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Gateway	06720000	183	2	1.1	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Groton-Dunstable	06730000	380	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Gill-Montague	06740000	211	1	0.5	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Hamilton-Wenham	06750000	352	0	0	-	-	No	No	2010-11	NR	NR	2009-10	3	-	-	2012-13	NR	NR
2010	Hampden-Wilbraham	06800000	700	10	1.4	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Hampshire	06830000	150	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	17	100
2010	Hawlemont	06850000	32	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	King Philip	06900000	323	0	0	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Lincoln-Sudbury	06950000	289	2	0.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	22	100
2010	Manchester-Essex	06980000	223	1	0.4	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	20	100
2010	Marthas Vineyard	07000000	175	5	2.9	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Masconomet	07050000	295	2	0.7	-	-	No	No	2009-10	13	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Mendon-Upton	07100000	370	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Mount Greylock	07150000	101	1	1	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Mohawk Trail	07170000	245	6	2.4	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Narragansett	07200000	271	2	0.7	-	-	No	No	2010-11	NR	NR	2009-10	2	-	-	2012-13	NR	NR
2010	Nashoba	07250000	406	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	New Salem-Wendell	07280000	24	0	0	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Northboro-Southboro	07300000	132	1	0.8	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	North Middlesex	07350000	767	8	1	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	15	100
2010	Old Rochester	07400000	132	1	0.8	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Pentucket	07450000	518	1	0.2	-	-	No	No	2009-10	37	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Pioneer Valley	07500000	193	2	1	-	-	No	No	2010-11	NR	NR	2009-10	1	-	-	2012-13	NR	NR
2010	Quabbin	07530000	496	13	2.6	-	-	No	No	2009-10	52	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Ralph C Mahar	07550000	160	15	9.4	-	-	No	No	2010-11	NR	NR	2009-10	0	-	-	2012-13	NR	NR
2010	Silver Lake	07600000	273	2	0.7	-	-	No	No	2010-11	NR	NR	2009-10	6	-	-	2012-13	NR	NR
2010	Southern Berkshire	07650000	139	0	0	-	-	No	No	2010-11	NR	NR	2009-10	2	-	-	2012-13	NR	NR
2010	Southwick-Tolland	07660000	270	2	0.7	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Spencer-E Brookfield	07670000	457	1	0.2	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	30	100
2010	Tantasqua	07700000	273	1	0.4	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Triton	07730000	406	0	0	-	-	No	No	2010-11	NR	NR	2009-10	3	-	-	2012-13	NR	NR
2010	Up-Island Regional	07740000	84	0	0	-	-	No	No	2009-10	-	-	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Wachusett	07750000	1032	5	0.5	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Quaboag Regional	07780000	276	2	0.7	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	25	100
2010	Whitman-Hanson	07800000	691	7	1	-	-	No	No	2009-10	21	100	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Assabet Valley	08010000	263	3	1.1	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
2010	Blackstone Valley Reg	08050000	149	0	0	-	-	No	No	2009-10	NA	NA	2012-13	NR	NR	NR	2011-12	NR	NR
2010	Blue Hills Voc	08060000	213	0	0	-	-	No	No	2010-11	NR	NR	2009-10	NA	NA	NA	2012-13	NR	NR
2010	Bristol-Plymouth Voc Tech	08100000	207	1	0.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	24	100
2010	Cape Cod Region Voc Tech	08150000	198	5	2.5	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	12	100
2010	Franklin County	08180000	130	0	0	-	-	No	No	2011-12	NR	NR	2010-11	NR	NR	NR	2009-10	17	100
2010	Greater Fall River	08210000	132	0	0	-	-	No	No	2012-13	NR	NR	2011-12	NR	NR	NR	2010-11	NR	NR
