			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2006	Christa McAuliffe Regional Charter Public (District)	04180000	70	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Smith Leadership Academy Charter Public (District)	04190000	29	1	3.4	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Benjamin Banneker Charter Public (District)	04200000	20	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Roxbury Charter HS (District)	04220000	5	-	-	-	-			NA	NA	NA		NA	NA	NA	NA	NA	NA
2006	Barnstable Horace Mann Charter (District)	04230000	137	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Boston Day and Evening Academy Charter (District)	04240000	43	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	22	100
2006	Marstons Mills East Horace Mann Charter (District)	04270000	41	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Edward Brooke Charter (District)	04280000	38	2	5.3	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Kipp Academy Lynn Charter (District)	04290000	24	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Advanced Math and Science Academy Charter (District)	04300000	14	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Cape Cod Lighthouse Charter (District)	04320000	27	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Champion Charter (District)	04340000	14	0	0	-	-			NA	NA	NA		NA	NA	NA	NA	NA	NA
