FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_PGRAD_4YRPRV_CNT,WPI_PGRAD_4YRPRV_PCT,WPI_PGRAD_4YRPUB_CNT,WPI_PGRAD_4YRPUB_PCT,WPI_PGRAD_2YRPRV_CNT,WPI_PGRAD_2YRPRV_PCT,WPI_PGRAD_2YRPUB_CNT,WPI_PGRAD_2YRPUB_PCT,WPI_PGRAD_PSTSEC_CNT,WPI_PGRAD_PSTSEC_PCT,WPI_PGRAD_WORK_CNT,WPI_PGRAD_WORK_PCT,WPI_PGRAD_MILIT_CNT,WPI_PGRAD_MILIT_PCT,WPI_PGRAD_OTHER_CNT,WPI_PGRAD_OTHER_PCT,WPI_PGRAD_UNKNOWN_CNT,WPI_PGRAD_UNKNOWN_PCT,WPI_PGRAD_TOTAL_CNT
1995,"BELLINGHAM MEMORIAL JR/SR",00250505,6,,21.1,,32.3,,1.5,,10.5,,0,,26.3,,8.3,,0,,0,133
1995,"PRIMAVERA JR/SR H S",00250510,6,,,,,,,,,,,,,,,,,,,3
1995,BELMONT,00260000,5,,61.4,,21.1,,0,,5.3,,2.9,,8.8,,0,,0,,0.6,171
1995,"WINN BROOK",00260005,6,,,,,,,,,,,,,,,,,,,
1995,"MARY LEE BURBANK",00260010,6,,,,,,,,,,,,,,,,,,,
1995,"DANIEL BUTLER",00260015,6,,,,,,,,,,,,,,,,,,,
1995,"ROGER E WELLINGTON",00260035,6,,,,,,,,,,,,,,,,,,,
1995,"WINTHROP L CHENERY MIDDLE",00260305,6,,,,,,,,,,,,,,,,,,,
1995,"BELMONT HIGH",00260505,6,,61.4,,21.1,,0,,5.3,,2.9,,8.8,,0,,0,,0.6,171
1995,BERKLEY,00270000,5,,,,,,,,,,,,,,,,,,,
1995,"BERKLEY COMMUNITY SCHOOL",00270010,6,,,,,,,,,,,,,,,,,,,
1995,BERLIN,00280000,5,,,,,,,,,,,,,,,,,,,
1995,"BERLIN MEMORIAL",00280005,6,,,,,,,,,,,,,,,,,,,
1995,BEVERLY,00300000,5,,30.3,,33.6,,3.3,,12.7,,3.3,,12.7,,4.1,,0,,0,244
1995,CENTERVILLE,00300010,6,,,,,,,,,,,,,,,,,,,
1995,COVE,00300015,6,,,,,,,,,,,,,,,,,,,
1995,"ABRAHAM EDWARDS",00300020,6,,,,,,,,,,,,,,,,,,,
1995,"HANNAH ELEMENTARY",00300033,6,,,,,,,,,,,,,,,,,,,
1995,MCKAY,00300035,,,,,,,,,,,,,,,,,,,,
1995,"NORTH BEVERLY ELEMENTARY",00300040,6,,,,,,,,,,,,,,,,,,,
1995,"AYERS/RYAL SIDE SCHOOL",00300055,6,,,,,,,,,,,,,,,,,,,
1995,"WASHINGTON-BEADLE SCHOOL",00300060,6,,,,,,,,,,,,,,,,,,,
1995,"BRISCOE MIDDLE",00300305,6,,,,,,,,,,,,,,,,,,,
1995,"MEMORIAL MIDDLE",00300310,6,,,,,,,,,,,,,,,,,,,
1995,"BEVERLY HIGH",00300505,6,,30.3,,33.6,,3.3,,12.7,,3.3,,12.7,,4.1,,0,,0,244
1995,BILLERICA,00310000,5,,26.1,,34.1,,1.4,,18.1,,2.9,,14.3,,2.9,,0.3,,0,349
1995,"THOMAS DITSON",00310005,6,,,,,,,,,,,,,,,,,,,
1995,"FREDERICK J DUTILE",00310007,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN F KENNEDY",00310012,6,,,,,,,,,,,,,,,,,,,
1995,PARKER,00310015,6,,,,,,,,,,,,,,,,,,,
1995,"HAJJAR ELEMENTARY",00310026,6,,,,,,,,,,,,,,,,,,,
1995,"EUGENE C VINING",00310030,6,,,,,,,,,,,,,,,,,,,
1995,"MARSHALL MIDDLE SCHOOL",00310305,6,,,,,,,,,,,,,,,,,,,
1995,"LOCKE MIDDLE",00310310,6,,,,,,,,,,,,,,,,,,,
1995,"BILLERICA MEM HIGH SCH",00310505,6,,26.1,,34.1,,1.4,,18.1,,2.9,,14.3,,2.9,,0.3,,0,349
1995,BOSTON,00350000,5,,24.4,,15.3,,7.6,,13,,4.6,,7.8,,2,,13.7,,11.7,2813
1995,"ELC - NORTH ZONE",00350003,6,,,,,,,,,,,,,,,,,,,
1995,"MARY LYON",00350004,6,,,,,,,,,,,,,,,,,,,
1995,"ELC - EAST ZONE",00350005,6,,,,,,,,,,,,,,,,,,,
1995,"ELC - WEST ZONE",00350006,6,,,,,,,,,,,,,,,,,,,
1995,AGASSIZ,00350007,6,,,,,,,,,,,,,,,,,,,
1995,"ALEXANDER HAMILTON",00350011,6,,,,,,,,,,,,,,,,,,,
1995,"JACKSON MANN",00350013,6,,,,,,,,,,,,,,,,,,,
1995,BEETHOVEN,00350021,6,,,,,,,,,,,,,,,,,,,
1995,"CARTER DEVELOP DAY CARE",00350036,6,,,,,,,,,,,,,,,,,,,
1995,"CHARLES SUMNER",00350052,6,,,,,,,,,,,,,,,,,,,
1995,"CHARLES H TAYLOR",00350054,6,,,,,,,,,,,,,,,,,,,
1995,"CURTIS GUILD",00350062,6,,,,,,,,,,,,,,,,,,,
1995,"DANTE ALIGHIERI",00350066,6,,,,,,,,,,,,,,,,,,,
1995,"DAVID A ELLIS",00350072,6,,,,,,,,,,,,,,,,,,,
1995,DEARBORN,00350074,6,,,,,,,,,,,,,,,,,,,
1995,"DENNIS C HALEY",00350077,6,,,,,,,,,,,,,,,,,,,
1995,"DONALD MCKAY",00350080,6,,,,,,,,,,,,,,,,,,,
1995,"EDWARD EVERETT",00350088,6,,,,,,,,,,,,,,,,,,,
1995,"ELIHU GREENWOOD",00350094,6,,,,,,,,,,,,,,,,,,,
1995,"ELIOT ELEMENTARY",00350096,6,,,,,,,,,,,,,,,,,,,
1995,"ELLIS MENDELL",00350100,6,,,,,,,,,,,,,,,,,,,
1995,"EMILY A FIFIELD",00350102,6,,,,,,,,,,,,,,,,,,,
1995,FARRAGUT,00350108,6,,,,,,,,,,,,,,,,,,,
1995,"FRANK V THOMPSON MIDDLE",00350114,6,,,,,,,,,,,,,,,,,,,
1995,"FRANKLIN D ROOSEVELT",00350116,6,,,,,,,,,,,,,,,,,,,
1995,"GEORGE H CONLEY",00350122,6,,,,,,,,,,,,,,,,,,,
1995,"HARRIET A BALDWIN",00350129,6,,,,,,,,,,,,,,,,,,,
1995,"HENRY GREW",00350135,6,,,,,,,,,,,,,,,,,,,
1995,"HENRY L HIGGINSON",00350137,6,,,,,,,,,,,,,,,,,,,
1995,"O W HOLMES",00350138,6,,,,,,,,,,,,,,,,,,,
1995,"PHYLLIS WHEATLEY MIDDLE",00350139,6,,,,,,,,,,,,,,,,,,,
1995,"HUGH ROE O'DONNELL",00350141,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES CONDON ELEM",00350146,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES A GARFIELD ELEM",00350152,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES W HENNIGAN",00350153,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES J CHITTICK",00350154,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES OTIS",00350156,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN F KENNEDY",00350166,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN P HOLLAND",00350167,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN D PHILBRICK",00350172,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN MARSHALL",00350178,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN W MCCORMACK",00350179,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN WINTHROP",00350180,6,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH P TYNAN",00350181,6,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH J HURLEY",00350182,6,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH LEE",00350183,6,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH P MANNING",00350184,6,,,,,,,,,,,,,,,,,,,
1995,"JOYCE KILMER",00350190,6,,,,,,,,,,,,,,,,,,,
1995,HARVARD-KENT,00350200,6,,,,,,,,,,,,,,,,,,,
1995,"LUCY STONE",00350211,6,,,,,,,,,,,,,,,,,,,
1995,"MANASSAH E BRADLEY",00350215,6,,,,,,,,,,,,,,,,,,,
1995,"MARGARET FULLER",00350217,6,,,,,,,,,,,,,,,,,,,
1995,MATTAHUNT,00350226,6,,,,,,,,,,,,,,,,,,,
1995,MATHER,00350227,6,,,,,,,,,,,,,,,,,,,
1995,"MAURICE J TOBIN",00350229,6,,,,,,,,,,,,,,,,,,,
1995,"MICHAEL J PERKINS",00350231,6,,,,,,,,,,,,,,,,,,,
1995,MOZART,00350237,6,,,,,,,,,,,,,,,,,,,
1995,"RICHARD J MURPHY",00350240,6,,,,,,,,,,,,,,,,,,,
1995,"NATHAN HALE",00350243,6,,,,,,,,,,,,,,,,,,,
1995,"OLIVER HAZARD PERRY",00350255,6,,,,,,,,,,,,,,,,,,,
1995,"WILLIAM H OHRENBERGER",00350258,6,,,,,,,,,,,,,,,,,,,
1995,"PATRICK J KENNEDY",00350264,6,,,,,,,,,,,,,,,,,,,
1995,"PATRICK O'HEARN",00350266,6,,,,,,,,,,,,,,,,,,,
1995,"PAUL A DEVER",00350268,6,,,,,,,,,,,,,,,,,,,
1995,"PAULINE AGASSIZ SHAW",00350270,6,,,,,,,,,,,,,,,,,,,
1995,"PHINEAS BATES",00350278,6,,,,,,,,,,,,,,,,,,,
1995,"QUINCY E DICKERMAN",00350284,6,,,,,,,,,,,,,,,,,,,
1995,"JOSIAH QUINCY",00350286,6,,,,,,,,,,,,,,,,,,,
1995,"RALPH WALDO EMERSON",00350288,6,,,,,,,,,,,,,,,,,,,
1995,"ROGER CLAP",00350298,6,,,,,,,,,,,,,,,,,,,
1995,"SAMUEL ADAMS",00350302,6,,,,,,,,,,,,,,,,,,,
1995,"SAMUEL W MASON",00350304,6,,,,,,,,,,,,,,,,,,,
1995,"SARAH GREENWOOD",00350308,6,,,,,,,,,,,,,,,,,,,
1995,"THOMAS GARDNER",00350326,6,,,,,,,,,,,,,,,,,,,
1995,"THOMAS J KENNY",00350328,6,,,,,,,,,,,,,,,,,,,
1995,WARREN-PRESCOTT,00350346,6,,,,,,,,,,,,,,,,,,,
1995,"WILLIAM ELLERY CHANNING",00350360,6,,,,,,,,,,,,,,,,,,,
