"Grades Offered by District Report",,
"District Code",District,"Grade List"
01890000,Milton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01910000,Monson,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01960000,Nahant,"PK,K,1,2,3,4,5,6"
01970000,Nantucket,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01980000,Natick,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
01990000,Needham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02010000,"New Bedford","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02040000,Newburyport,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02070000,Newton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02080000,Norfolk,"PK,K,1,2,3,4,5,6"
02090000,"North Adams","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02100000,Northampton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02110000,"North Andover","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02120000,"North Attleborough","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02130000,Northborough,"PK,K,1,2,3,4,5,6,7,8"
02140000,Northbridge,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02150000,"North Brookfield","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02170000,"North Reading","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02180000,Norton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02190000,Norwell,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02200000,Norwood,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02210000,"Oak Bluffs","PK,K,1,2,3,4,5,6,7,8"
02230000,Orange,"PK,K,1,2,3,4,5,6"
02240000,Orleans,"K,1,2,3,4,5"
02260000,Oxford,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02270000,Palmer,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02290000,Peabody,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02300000,Pelham,"K,1,2,3,4,5,6"
02310000,Pembroke,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02340000,Petersham,"K,1,2,3,4,5,6"
02360000,Pittsfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02380000,Plainville,"PK,K,1,2,3,4,5,6"
02390000,Plymouth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02400000,Plympton,"K,1,2,3,4,5,6"
02420000,Provincetown,"PK,K,1,2,3,4,5,6,7,8"
02430000,Quincy,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02440000,Randolph,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02460000,Reading,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02480000,Revere,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02490000,Richmond,"PK,K,1,2,3,4,5,6,7,8"
02500000,Rochester,"PK,K,1,2,3,4,5,6"
02510000,Rockland,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02520000,Rockport,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02530000,Rowe,"PK,K,1,2,3,4,5,6"
02580000,Salem,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02610000,Sandwich,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02620000,Saugus,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02630000,Savoy,"PK,K,1,2,3,4,5"
02640000,Scituate,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02650000,Seekonk,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02660000,Sharon,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02690000,Sherborn,"PK,K,1,2,3,4,5"
02710000,Shrewsbury,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02720000,Shutesbury,"PK,K,1,2,3,4,5,6"
02730000,Somerset,"PK,K,1,2,3,4,5,6,7,8"
02740000,Somerville,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
