FY	org_code	district_short_name	total	avg	fte
1997	02640000	SCITUATE                     	8315218	44730	186
1997	02650000	SEEKONK                      	6164293	44062	140
1997	02660000	SHARON                       	8711442	40406	216
1997	02690000	SHERBORN                     	1301710	47335	28
1997	02700000	SHIRLEY                      	1713009	26977	64
1997	02710000	SHREWSBURY                   	10982387	41474	265
1997	02720000	SHUTESBURY                   	607286	37955	16
1997	02730000	SOMERSET                     	9358190	45650	205
1997	02740000	SOMERVILLE                   	20695572	39961	518
1997	02750000	SOUTHAMPTON                  	1182117	38133	31
1997	02760000	SOUTHBOROUGH                 	3253439	45694	71
1997	02770000	SOUTHBRIDGE                  	7412507	38407	193
1997	02780000	SOUTH HADLEY                 	6216732	39572	157
1997	02810000	SPRINGFIELD                  	74517141	39879	1869
1997	02840000	STONEHAM                     	7619539	45247	168
1997	02850000	STOUGHTON                    	11710870	42050	279
1997	02870000	STURBRIDGE                   	2868209	46113	62
1997	02880000	SUDBURY                      	7167416	47216	152
1997	02890000	SUNDERLAND                   	720669	40487	18
1997	02900000	SUTTON                       	3467213	41276	84
1997	02910000	SWAMPSCOTT                   	6701022	42092	159
1997	02920000	SWANSEA                      	6023384	40699	148
1997	02930000	TAUNTON                      	18655257	43183	432
1997	02950000	TEWKSBURY                    	11097883	45954	242
1997	02960000	TISBURY                      	1418285	45458	31
1997	02980000	TOPSFIELD                    	1774969	40617	44
1997	03000000	TRURO                        	495411	28309	18
1997	03010000	TYNGSBOROUGH                 	4420983	40374	110
1997	03040000	UXBRIDGE                     	4605887	38543	120
1997	03050000	WAKEFIELD                    	10562376	44548	237
1997	03060000	WALES                        	395452	31138	13
1997	03070000	WALPOLE                      	8745490	39447	222
1997	03080000	WALTHAM                      	19142643	41614	460
1997	03090000	WARE                         	3343949	35879	93
1997	03100000	WAREHAM                      	8829664	41946	211
1997	03140000	WATERTOWN                    	9611781	49931	193
1997	03150000	WAYLAND                      	8989401	54847	164
1997	03160000	WEBSTER                      	5755514	42824	134
1997	03170000	WELLESLEY                    	11909867	48831	244
1997	03180000	WELLFLEET                    	685981	39652	17
1997	03210000	WESTBOROUGH                  	9300407	46901	198
1997	03220000	WEST BOYLSTON                	2995609	34002	88
1997	03230000	WEST BRIDGEWATER             	3113679	42537	73
1997	03250000	WESTFIELD                    	17314354	38306	452
1997	03260000	WESTFORD                     	10008376	46100	217
1997	03270000	WESTHAMPTON                  	369385	43457	9
1997	03300000	WESTON                       	7262594	56695	128
1997	03310000	WESTPORT                     	4488509	38429	117
1997	03320000	WEST SPRINGFIELD             	9741256	38412	254
1997	03350000	WESTWOOD                     	8144098	47906	170
1997	03360000	WEYMOUTH                     	19371066	31683	611
1997	03370000	WHATELY                      	351044	37747	9
1997	03400000	WILLIAMSBURG                 	628358	33071	19
1997	03410000	WILLIAMSTOWN                 	1565112	41405	38
1997	03420000	WILMINGTON                   	9118427	45275	201
1997	03430000	WINCHENDON                   	4681521	32065	146
1997	03440000	WINCHESTER                   	10657197	48464	220
1997	03460000	WINTHROP                     	6433969	37847	170
1997	03470000	WOBURN	16023021	45846	350
1997	03480000	WORCESTER                    	73898505	43165	1712
1997	03500000	WRENTHAM                     	2682004	42504	63
1997	04060000	NORTHAMPTON SMITH            	2070112	43399	48
1997	04080000	WORCESTER TRADE	6095363	47251	129
1997	06000000	ACTON BOXBOROUGH             	5221907	40988	127
1997	06030000	ADAMS CHESHIRE               	5096381	38033	134
1997	06050000	AMHERST PELHAM               	6084876	43216	141
1997	06100000	ASHBURNHAM WESTMINSTER       	6108909	36890	166
1997	06150000	ATHOL ROYALSTON              	5793542	36645	158
1997	06180000	BERKSHIRE HILLS              	5833809	42305	138
1997	06200000	BERLIN BOYLSTON              	1358317	39486	34
1997	06220000	BLACKSTONE MILLVILLE         	5950405	40534	147
1997	06250000	BRIDGEWATER RAYNHAM          	14190645	51734	274
1997	06320000	CHESTERFIELD GOSHEN	467948	35451	13
1997	06350000	CENTRAL BERKSHIRE            	7026077	44724	157
1997	06400000	CONCORD CARLISLE             	4080256	60181	68
1997	06450000	DENNIS YARMOUTH              	12400286	43282	287
1997	06500000	DIGHTON REHOBOTH             	7778552	38622	201
1997	06550000	DOVER SHERBORN               	3935624	52615	75
1997	06580000	DUDLEY CHARLTON              	9068315	41983	216
1997	06600000	NAUSET                       	5509184	40869	135
1997	06620000	FARMINGTON RIVER	666527	38978	17
1997	06650000	FREETOWN LAKEVILLE           	4897307	41538	118
1997	06700000	FRONTIER                     	1828893	38261	48
1997	06720000	GATEWAY                      	4508505	34155	132
1997	06730000	GROTON DUNSTABLE             	5408407	38576	140
1997	06740000	GILL MONTAGUE                	4472000	33853	132
1997	06750000	HAMILTON WENHAM              	6344858	35887	177
1997	06800000	HAMPDEN WILBRAHAM            	9277118	40850	227
1997	06830000	HAMPSHIRE                    	2220404	37634	59
1997	06850000	HAWLEMONT                    	457474	33392	14
1997	06900000	KING PHILIP                  	5023808	46006	109
1997	06950000	LINCOLN SUDBURY              	4344464	50991	85
1997	07000000	MARTHAS VINEYARD             	2478302	43479	57
1997	07050000	MASCONOMET                   	4177838	41904	100
1997	07100000	MENDON UPTON                 	4068739	40606	100
1997	07150000	MOUNT GREYLOCK               	2546596	48973	52
1997	07170000	MOHAWK TRAIL                 	4865822	35963	135
1997	07200000	NARRAGANSETT                 	3482979	34830	100
1997	07250000	NASHOBA                      	9594237	43970	218
1997	07280000	NEW SALEM WENDELL            	462980	32835	14
1997	07300000	NORTHBORO SOUTHBORO          	3135135	49372	64
1997	07350000	NORTH MIDDLESEX              	11671488	38840	301
1997	07400000	OLD ROCHESTER                	3312995	41937	79
1997	07450000	PENTUCKET                    	8187336	34633	236
1997	07500000	PIONEER                      	2757313	31369	88
1997	07530000	QUABBIN                      	7247231	40487	179
1997	07550000	RALPH C MAHAR                	2312449	38996	59
1997	07600000	SILVER LAKE                  	8806549	44365	199
1997	07650000	SOUTHERN BERKSHIRE           	3311810	43519	76
1997	07660000	SOUTHWICK TOLLAND	4975290	38037	131
1997	07670000	SPENCER EAST BROOKFIELD      	6362514	45124	141
1997	07700000	TANTASQUA                    	5226198	45288	115
1997	07730000	TRITON                       	8760436	43049	204
1997	07740000	UPISLAND	1640972	43297	38
1997	07750000	WACHUSETT                    	18674740	46443	402
1997	07780000	QUABOAG	3851733	36337	106
1997	07800000	WHITMAN HANSON               	12207805	45081	271
1997	08010000	ASSABET VALLEY               	4323987	49530	87
1997	08050000	BLACKSTONE VALLEY            	2854539	41370	69
1997	08060000	BLUE HILLS                   	4144533	50237	83
1997	08100000	BRISTOL PLYMOUTH             	2864127	39288	73
1997	08150000	CAPE COD                     	2473531	41226	60
1997	08180000	FRANKLIN COUNTY              	2235351	39564	57
1997	08210000	GREATER FALL RIVER           	3861925	37677	103
1997	08230000	GREATER LAWRENCE             	6090687	45453	134
1997	08250000	GREATER NEW BEDFORD          	7560484	44213	171
1997	08280000	GREATER LOWELL               	7623797	48405	158
1997	08290000	SOUTH MIDDLESEX              	4214632	52683	80
1997	08300000	MINUTEMAN                    	5146919	41341	125
1997	08320000	MONTACHUSETT                 	4067981	46070	88
1997	08510000	NORTHERN BERKSHIRE           	1707726	36568	47
1997	08520000	NASHOBA VALLEY               	2041215	37730	54
1997	08530000	NORTHEAST METROPOLITAN       	5217315	48760	107
1997	08540000	NORTH SHORE                  	1720713	32775	53
1997	08550000	OLD COLONY                   	1978864	39185	51
1997	08600000	PATHFINDER                   	3125737	41956	75
1997	08710000	SHAWSHEEN VALLEY             	5694361	50843	112
1997	08720000	SOUTHEASTERN                 	3977683	41870	95
1997	08730000	SOUTH SHORE                  	2529071	48636	52
1997	08760000	SOUTHERN WORCESTER           	4373922	44632	98
1997	08780000	TRI COUNTY                   	3518047	46474	76
1997	08790000	UPPER CAPE COD               	1908200	35013	55
1997	08850000	WHITTIER                     	4378080	42506	103
1997	09100000	BRISTOL COUNTY               	1265802	40832	31
1997	09130000	ESSEX COUNTY                 	2710543	40456	67
1997	09150000	NORFOLK COUNTY               	1691415	40954	41
1997	09990000	STATE TOTALS	2734417471	42874	63778
1998	00010000	ABINGTON                     	6256141	41349	151
1998	00020000	ACTON                        	6244184	50397	124
1998	00030000	ACUSHNET                     	2609300	39535	66
1998	00050000	AGAWAM                       	11858346	42687	278
1998	00070000	AMESBURY                     	7739979	41680	186
1998	00080000	AMHERST                      	6247661	44594	140
1998	00090000	ANDOVER                      	17977177	47888	375
1998	00100000	ARLINGTON                    	13566324	46588	291
1998	00140000	ASHLAND                      	5938393	40535	147
1998	00160000	ATTLEBORO                    	17721902	44095	402
1998	00170000	AUBURN                       	7166614	42914	167
1998	00180000	AVON                         	1707926	29964	57
1998	00190000	AYER                         	3711329	33078	112
1998	00200000	BARNSTABLE                   	20781388	42895	485
1998	00230000	BEDFORD                      	7455252	43547	171
1998	00240000	BELCHERTOWN                  	5341635	35754	149
1998	00250000	BELLINGHAM                   	7266538	44800	162
1998	00260000	BELMONT                      	11306260	50712	223
1998	00270000	BERKLEY                      	2249511	41658	54
1998	00280000	BERLIN                       	708842	35982	20
1998	00300000	BEVERLY                      	14371094	44117	326
1998	00310000	BILLERICA                    	19209483	36920	520
1998	00350000	BOSTON                       	231796784	51370	4512
1998	00360000	BOURNE                       	6422808	43222	149
1998	00370000	BOXBOROUGH                   	1265124	41344	31
1998	00380000	BOXFORD                      	2707930	42049	64
1998	00390000	BOYLSTON                     	976151	44170	22
1998	00400000	BRAINTREE                    	16309064	48252	338
1998	00410000	BREWSTER                     	2250926	40557	56
1998	00430000	BRIMFIELD                    	1009286	40291	25
1998	00440000	BROCKTON                     	44313527	46054	962
1998	00450000	BROOKFIELD                   	1106726	38562	29
1998	00460000	BROOKLINE                    	21955692	47959	458
1998	00480000	BURLINGTON                   	13678666	51520	266
1998	00490000	CAMBRIDGE                    	35804392	51591	694
1998	00500000	CANTON                       	8806937	45164	195
1998	00510000	CARLISLE                     	2610383	43872	60
1998	00520000	CARVER                       	5958908	42053	142
1998	00550000	CHATHAM                      	2816019	45274	62
1998	00560000	CHELMSFORD                   	16787743	49001	343
1998	00570000	CHELSEA                      	12935263	33862	382
1998	00610000	CHICOPEE                     	19933000	29530	675
1998	00630000	CLARKSBURG                   	608816	39792	15
1998	00640000	CLINTON                      	5915028	39224	151
