FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00260000,00260010,"Mary Lee Burbank",20.85,100,17.95,100,14.5
2004,00260000,00260015,"Daniel Butler",20.55,95.13,17.85,94.4,11.6
2004,00260000,00260035,"Roger E Wellington",27.8,100,25.2,100,15.4
2004,00260000,00260305,"Winthrop L Chenery Middle",84.2,82.9,77.1,73.67,13.9
2004,00260000,00260505,"Belmont High",69.3,79.8,68.3,79.5,16.5
2004,00270000,00270000,Berkley,69,100,62,98.39,14.8
2004,00270000,00270010,"Berkley Community School",38.5,100,34.5,100,15
2004,00270000,00270305,"Berkley Middle School",30.5,100,27.5,96.36,14.6
2004,00280000,00280000,Berlin,17.8,91.57,15.3,96.73,13.8
2004,00280000,00280005,"Berlin Memorial",17.8,91.57,15.3,96.73,13.8
2004,00300000,00300000,Beverly,343.5,99.83,296.7,99.8,13.3
2004,00300000,00300010,"Centerville Elementary",21.1,100,20.5,100,15.7
2004,00300000,00300015,"Cove Elementary",28.9,100,26.9,100,14.7
2004,00300000,00300033,"Hannah Elementary",25.3,100,23.1,100,12.3
2004,00300000,00300037,"McKeown Elementary",25.2,100,21.6,100,12.2
2004,00300000,00300040,"North Beverly Elementary",26,100,24,100,13.3
2004,00300000,00300055,"Ayers/Ryal Side Sch",33.4,100,29.4,100,12.8
2004,00300000,00300305,"Briscoe Middle",50,100,39,100,11.4
2004,00300000,00300310,"Memorial Middle",41.2,98.54,33.4,98.2,12.5
2004,00300000,00300505,"Beverly High",92.4,100,78.8,100,14.3
2004,00310000,00310000,Billerica,434.2,97.24,377.8,97.35,14.7
2004,00310000,00310005,"Thomas Ditson",50,100,44.6,100,15.2
2004,00310000,00310007,"Frederick J Dutile",30.5,100,28.2,100,17
2004,00310000,00310012,"John F Kennedy",32.2,100,27.9,100,16.8
2004,00310000,00310015,Parker,28.38,100,26.25,100,14.2
2004,00310000,00310026,"Hajjar Elementary",42.52,100,39.1,100,14.5
2004,00310000,00310030,"Eugene C Vining",24.45,100,22.45,100,14
2004,00310000,00310305,"Marshall Middle School",66.9,98.51,56.8,98.24,13.5
2004,00310000,00310310,"Locke Middle",53.2,94.36,44.3,95.49,12.8
2004,00310000,00310505,"Billerica Memorial High School",106.05,92.46,88.2,92.06,15.4
2004,00350000,00350000,Boston,3926.29,80.97,3336.04,87,15.3
2004,00350000,00350003,"ELC - North Zone",7,42.86,4,50,12.1
2004,00350000,00350004,"Mary Lyon",15.2,83.88,4.15,100,8.2
2004,00350000,00350005,"ELC - East Zone",11.4,95.61,11.4,95.61,11.2
2004,00350000,00350006,"ELC - West Zone",8,100,8,100,12.9
2004,00350000,00350007,Agassiz,41,74.39,36,80.56,17.2
2004,00350000,00350008,"Mattapan ECC",11.4,87.72,10.4,87.5,17
2004,00350000,00350009,"East Boston ECC",12,75,12,75,15
2004,00350000,00350010,"Blue Hill Ave ECC",11.1,86.49,8.1,100,16.9
2004,00350000,00350011,"Alexander Hamilton",12.4,80.65,11.6,79.31,16.5
2004,00350000,00350013,"Jackson Mann",37,73.51,25,84.8,15.8
2004,00350000,00350021,Beethoven,21,85.71,20,85,14.3
2004,00350000,00350036,"Carter Develop Day Care",4,75,4,75,6
2004,00350000,00350052,"Charles Sumner",32,93.75,27,96.3,15.8
2004,00350000,00350054,"Charles H Taylor",33,86.06,32,95,16.7
2004,00350000,00350062,"Curtis Guild",10.9,100,9.5,100,22.1
2004,00350000,00350066,"Dante Alighieri",9,68.89,9,73.33,12.6
2004,00350000,00350072,"David A Ellis",23,69.57,21,71.43,15.8
2004,00350000,00350074,Dearborn,32,56.25,29,72.41,14
2004,00350000,00350077,"Dennis C Haley",22.1,95.48,20.1,97.51,13.5
2004,00350000,00350080,"Donald Mckay",32,75,28,75,19
2004,00350000,00350088,"Edward Everett",18,100,17,100,15.8
2004,00350000,00350094,"Elihu Greenwood",28.5,96.49,26.5,100,15.1
2004,00350000,00350096,"Eliot Elementary",13,38.46,8,50,13.5
2004,00350000,00350100,"Ellis Mendell",14.9,90.6,12.9,89.15,13.3
2004,00350000,00350102,"Emily A Fifield",20,92,19,96.84,15.2
2004,00350000,00350108,Farragut,16.2,87.65,15.2,100,15.1
2004,00350000,00350116,"Franklin D Roosevelt",14.8,100,14,100,18.1
2004,00350000,00350122,"George H Conley",16.4,87.8,16,93.75,13.4
2004,00350000,00350135,"Henry Grew",17.6,94.89,16.6,96.99,14.6
2004,00350000,00350137,"Henry L Higginson",9.5,93.68,8.5,100,15.7
2004,00350000,00350138,"O W Holmes",17.6,82.95,17.6,88.64,11.9
2004,00350000,00350141,"Hugh Roe O'Donnell",15.5,100,14.5,100,15.2
2004,00350000,00350146,"James Condon Elem",45.6,87.94,45,94.44,15.4
2004,00350000,00350152,"James A Garfield Elem",17.5,86.29,16.1,85.09,14.8
2004,00350000,00350153,"James W Hennigan",31.5,90.48,26.5,96.23,17.9
2004,00350000,00350154,"James J Chittick",20.6,78.83,18.6,76.56,13.9
2004,00350000,00350156,"James Otis",23,91.3,23,95.65,13.3
2004,00350000,00350166,"John F Kennedy",24,80.42,22,83.18,16.3
2004,00350000,00350167,"John P Holland",46.8,94.66,44.8,95.54,16.3
2004,00350000,00350172,"John D Philbrick",10,90,9,100,14.8
2004,00350000,00350178,"John Marshall",44,88.64,41,93.9,15.6
2004,00350000,00350179,"John W McCormack",39,82.05,27,85.19,18.9
2004,00350000,00350180,"John Winthrop",22.5,84.44,21.1,91.71,14
2004,00350000,00350181,"Joseph P Tynan",22.6,91.15,20.6,95.15,16.1
2004,00350000,00350182,"Joseph J Hurley",23,60.87,21,90.48,12.4
2004,00350000,00350183,"Joseph Lee",39.3,90.08,37.4,91.98,15.7
2004,00350000,00350184,"Joseph P Manning",13.5,77.78,13.5,85.19,12.5
2004,00350000,00350190,"Joyce Kilmer",14.6,100,13.6,100,17.9
2004,00350000,00350200,Harvard-Kent,30.4,90.13,27,92.59,14.4
2004,00350000,00350211,"Lucy Stone",11.4,92.11,11.4,92.11,15.5
2004,00350000,00350215,"Manassah E Bradley",15.9,100,15.4,100,17.9
2004,00350000,00350226,Mattahunt,49.3,86.82,42.3,89.36,13.1
2004,00350000,00350227,Mather,28.5,92.98,25.5,96.08,16.8
2004,00350000,00350229,"Maurice J Tobin",25,76,25,84,16.1
2004,00350000,00350231,"Michael J Perkins",14.2,100,13.2,100,14.3
2004,00350000,00350237,Mozart,9.6,89.58,9.6,89.58,18.2
2004,00350000,00350240,"Richard J Murphy",60,91.67,52,94.23,15.1
2004,00350000,00350243,"Nathan Hale",11.8,76.27,11.8,76.27,15.4
2004,00350000,00350255,"Oliver Hazard Perry",12,84.17,10.4,100,13.6
2004,00350000,00350257,"Orchard Gardens ",40,62.5,34,64.71,16.1
2004,00350000,00350258,"William H Ohrenberger",35,89.14,33,97.58,15.1
2004,00350000,00350262,Lyndon,32.8,75.61,30.8,80.52,14.5
2004,00350000,00350264,"Patrick J Kennedy",16,94.38,15,94,13.3
2004,00350000,00350266,"Patrick O'Hearn",23,88.7,13,95.38,10.4
