FY_CODE,ORG_CODE,ORG_NAME,ESTATUS,MSTATUS
2007,03270000,Westhampton,"Improvement Year 1",
2007,03300000,Weston,,
2007,03310000,Westport,,
2007,03320000,"West Springfield",,
2007,03350000,Westwood,,
2007,03360000,Weymouth,"Improvement Year 2 - Subgroups",
2007,03370000,Whately,,
2007,03400000,Williamsburg,,
2007,03410000,Williamstown,,
2007,03420000,Wilmington,,
2007,03430000,Winchendon,,
2007,03440000,Winchester,,
2007,03460000,Winthrop,,
2007,03470000,Woburn,,"Corrective Action - Subgroups"
2007,03480000,Worcester,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,03500000,Wrentham,,
2007,04060000,Northampton-Smith,,
2007,04100000,"Excel Academy Charter (District)",,
2007,04120000,"Academy Of the Pacific Rim Charter Public (District)",,
2007,04130000,"Four Rivers Charter Public (District)",,
2007,04140000,"Berkshire Arts and Technology Charter (District)","Improvement Year 1","Improvement Year 2"
2007,04150000,"Academy of Strategic Learning Charter (District)",,
2007,04160000,"Boston Preparatory Charter Public (District)",,
2007,04180000,"Christa McAuliffe Regional Charter Public (District)",,
2007,04190000,"Smith Leadership Academy Charter Public (District)","Improvement Year 1","Improvement Year 2"
2007,04200000,"Benjamin Banneker Charter Public (District)",,"Restructuring Year 2"
2007,04230000,"Barnstable Horace Mann Charter (District)",,"Improvement Year 1 - Subgroups"
2007,04240000,"Boston Day and Evening Academy Charter (District)",,
2007,04270000,"Marstons Mills East Horace Mann Charter (District)",,
2007,04280000,"Edward Brooke Charter (District)",,
2007,04290000,"Kipp Academy Lynn Charter (District)",,
2007,04300000,"Advanced Math and Science Academy Charter (District)",,
2007,04320000,"Cape Cod Lighthouse Charter (District)",,
2007,04340000,"Champion Charter (District)",,"Improvement Year 2"
2007,04350000,"Innovation Academy Charter (District)",,
2007,04360000,"Community Charter School of Cambridge (District)",,
2007,04370000,"City On A Hill Charter Public (District)",,
2007,04380000,"Codman Academy Charter Public (District)",,
2007,04390000,"Conservatory Lab Charter (District)",,
2007,04400000,"Community Day Charter Public (District)","Improvement Year 1",
2007,04410000,"Sabis International Charter (District)","Improvement Year 2 - Subgroups","Improvement Year 1"
2007,04440000,"Neighborhood House Charter (District)",,"Improvement Year 2 - Subgroups"
2007,04450000,"Abby Kelley Foster Charter Public (District)",,"Improvement Year 1"
2007,04460000,"Foxborough Regional Charter (District)",,
2007,04470000,"Benjamin Franklin Classical Charter Public (District)",,
2007,04490000,"Boston Collegiate Charter (District)",,
2007,04500000,"Hilltown Cooperative Charter  Public (District)",,
2007,04510000,"Robert M. Hughes Academy Charter (District)","Improvement Year 1",
2007,04520000,"Health Careers Academy Charter (District)",,
2007,04530000,"Holyoke Community Charter (District)","Improvement Year 1 - Subgroups","Improvement Year 1 - Subgroups"
2007,04540000,"Lawrence Family Development Charter (District)","Restructuring Year 2",
2007,04550000,"Hill View Montessori Charter Public (District)",,
2007,04560000,"Lowell Community Charter Public (District)","Improvement Year 2 - Subgroups","Improvement Year 1 - Subgroups"
2007,04580000,"Lowell Middlesex Academy Charter (District)",,
2007,04640000,"Marblehead Community Charter (District)",,
2007,04660000,"Martha's Vineyard Charter (District)",,
2007,04680000,"Ma Academy for Math and Science",,
2007,04690000,"MATCH Charter Public High (District)",,
2007,04700000,"Mystic Valley Regional Charter (District)","Improvement Year 1 - Subgroups","Improvement Year 1 - Subgroups"
2007,04710000,"New Leadership Charter (District)","Corrective Action","Restructuring Year 2"
2007,04720000,"New Bedford Global Learning Charter (District)",,"Improvement Year 2 - Subgroups"
2007,04740000,"North Central Charter Essential (District)","Improvement Year 2","Restructuring Year 1 - Subgroups"
2007,04780000,"Francis W. Parker Charter Essential (District)",,
2007,04790000,"Pioneer Valley Performing Arts Charter Public (District)",,
2007,04810000,"Boston Renaissance Charter Public (District)","Improvement Year 2 - Subgroups","Restructuring Year 1 - Subgroups"
2007,04820000,"River Valley Charter (District)",,
2007,04830000,"Rising Tide Charter (District)",,
2007,04840000,"Roxbury Preparatory Charter (District)",,
2007,04850000,"Salem Academy Charter (District)",,"Improvement Year 1"
2007,04860000,"Seven Hills Charter (District)","Restructuring Year 1 - Subgroups","Corrective Action - Subgroups"
2007,04870000,"Prospect Hill Academy Charter (District)",,
2007,04880000,"South Shore Charter Public (District)",,"Improvement Year 2 - Subgroups"
2007,04890000,"Sturgis Charter Public (District)",,
2007,04900000,"Uphams Corner Charter (District)","Improvement Year 1","Improvement Year 2"
2007,04910000,"Atlantis Charter (District)","Improvement Year 1 - Subgroups",
2007,04920000,"Martin Luther King Jr. Charter School of Excellence (District)",,
2007,04930000,"Phoenix Charter Academy (District)",,
2007,06000000,Acton-Boxborough,,
2007,06030000,Adams-Cheshire,,
2007,06050000,Amherst-Pelham,,
2007,06100000,Ashburnham-Westminster,,
2007,06150000,Athol-Royalston,,
2007,06180000,"Berkshire Hills",,
2007,06200000,Berlin-Boylston,,
2007,06220000,Blackstone-Millville,,
2007,06250000,Bridgewater-Raynham,,"Corrective Action - Subgroups"
2007,06320000,Chesterfield-Goshen,,
2007,06350000,"Central Berkshire",,
2007,06400000,Concord-Carlisle,,
2007,06450000,Dennis-Yarmouth,,
2007,06500000,Dighton-Rehoboth,,"Improvement Year 2 - Subgroups"
2007,06550000,Dover-Sherborn,,
2007,06580000,"Dudley-Charlton Reg",,
2007,06600000,Nauset,,
2007,06620000,"Farmington River Reg",,
2007,06650000,Freetown-Lakeville,,
2007,06700000,Frontier,,
2007,06720000,Gateway,,
2007,06730000,Groton-Dunstable,,
2007,06740000,Gill-Montague,,
2007,06750000,Hamilton-Wenham,,
2007,06800000,Hampden-Wilbraham,,
2007,06830000,Hampshire,,"Corrective Action - Subgroups"
2007,06850000,Hawlemont,,
2007,06900000,"King Philip",,
2007,06950000,Lincoln-Sudbury,,
2007,06980000,"Manchester Essex Regional",,
2007,07000000,"Marthas Vineyard",,
2007,07050000,Masconomet,,
2007,07100000,Mendon-Upton,,
2007,07150000,"Mount Greylock",,
2007,07170000,"Mohawk Trail",,
2007,07200000,Narragansett,,
2007,07250000,Nashoba,,
2007,07280000,"New Salem-Wendell",,
2007,07300000,Northboro-Southboro,,
2007,07350000,"North Middlesex",,
2007,07400000,"Old Rochester",,
2007,07450000,Pentucket,,
2007,07500000,"Pioneer Valley",,
2007,07530000,Quabbin,,
2007,07550000,"Ralph C Mahar",,"Improvement Year 1 - Subgroups"
2007,07600000,"Silver Lake",,
2007,07650000,"Southern Berkshire",,
2007,07660000,Southwick-Tolland,,
2007,07670000,"Spencer-E Brookfield",,
2007,07700000,Tantasqua,,
2007,07730000,Triton,,
2007,07740000,"Up-Island Regional",,
2007,07750000,Wachusett,,
2007,07780000,"Quaboag Regional",,
2007,07800000,Whitman-Hanson,,
2007,08010000,"Assabet Valley",,
2007,08050000,"Blackstone Valley Reg",,
2007,08060000,"Blue Hills Voc","Improvement Year 1 - Subgroups",
2007,08100000,"Bristol-Plymouth Voc Tech",,
2007,08150000,"Cape Cod Region Voc Tech",,
2007,08180000,"Franklin County",,
2007,08210000,"Greater Fall River",,
2007,08230000,"Greater Lawrence RVT","Restructuring Year 1 - Subgroups","Restructuring Year 1 - Subgroups"
2007,08250000,"Greater New Bedford",,
2007,08280000,"Greater Lowell Voc Tec",,"Improvement Year 1 - Subgroups"
2007,08290000,"So Middlesex Voc Tech Reg",,"Improvement Year 1 - Subgroups"
2007,08300000,"Minuteman Voc Tech",,
2007,08320000,"Montachusett Voc Tech Reg",,
2007,08510000,"Northern Berkshire Voc","Improvement Year 1",
2007,08520000,"Nashoba Valley Tech",,
2007,08530000,"Northeast Metro Voc",,
2007,08540000,"North Shore Reg Voc",,
2007,08550000,"Old Colony Reg Voc Tech",,
2007,08600000,"Pathfinder Voc Tech",,
2007,08710000,"Shawsheen Valley Voc Tech",,
2007,08720000,"Southeastern Reg Voc Tech",,"Improvement Year 2 - Subgroups"
2007,08730000,"South Shore Reg Voc Tech",,
2007,08760000,"Southern Worcester Cty VT",,
2007,08780000,"Tri County",,
2007,08790000,"Upper Cape Cod Voc Tech",,
2007,08850000,"Whittier Voc",,
2007,09100000,"Bristol County Agr",,
2007,09130000,"Essex Agr Tech",,
2007,09150000,"Norfolk County Agriculture",,
2008,00000000,"State Totals","Under Review","Under Review"
2008,00010000,Abington,,
2008,00020000,Acton,,
2008,00030000,Acushnet,,
2008,00050000,Agawam,"Improvement Year 2 - Subgroups","Improvement Year 2 - Subgroups"
2008,00070000,Amesbury,,
2008,00080000,Amherst,,
2008,00090000,Andover,,
2008,00100000,Arlington,,
2008,00140000,Ashland,,
2008,00160000,Attleboro,,
2008,00170000,Auburn,,
2008,00180000,Avon,,
2008,00190000,Ayer,,
2008,00200000,Barnstable,,
2008,00230000,Bedford,,
2008,00240000,Belchertown,,
2008,00250000,Bellingham,,
2008,00260000,Belmont,,
2008,00270000,Berkley,,
2008,00280000,Berlin,,
2008,00300000,Beverly,,
2008,00310000,Billerica,,
2008,00350000,Boston,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00360000,Bourne,,
2008,00370000,Boxborough,,
2008,00380000,Boxford,,
2008,00390000,Boylston,,
2008,00400000,Braintree,,
